m13_TCELLS	m13_BCELLS	m13_NKCELLS	m13_GRANULOCYTES	m13_MONOCYTES	m36_TCELLS	m36_BCELLS	m36_NKCELLS	m36_GRANULOCYTES	m36_MONOCYTES	m43_TCELLS	m43_BCELLS	m43_NKCELLS	m43_GRANULOCYTES	m43_MONOCYTES	m55_TCELLS	m55_BCELLS	m55_NKCELLS	m55_GRANULOCYTES	m55_MONOCYTES
chr1-180025571	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-180088330	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-185698665	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-19198888	1	2	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0
chr1-19593307	1	2	0	2	2	1	2	0	4	3	2	1	0	1	0	0	8	0	2	1
chr1-202780533	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-204289146	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	2	1	0	0
chr1-204303599	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-204487618	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	4	0	0	0	0
chr1-206605558	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-207339468	1	0	0	2	2	3	2	0	3	1	0	0	0	0	0	17	8	0	6	2
chr1-20901413	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr1-211264242	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-21153337	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr1-213168769	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-222003145	2	3	1	0	0	0	1	0	3	0	0	0	0	0	0	1	5	2	0	0
chr1-224437298	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-227030449	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr1-24463401	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-25360016	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-25450820	4	2	0	0	0	2	0	0	0	0	1	0	0	0	0	13	1	0	0	0
chr1-31353130	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-3297480	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-35013453	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-35405615	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-35850130	1	5	1	1	2	2	0	0	1	1	0	1	0	0	0	3	2	0	2	0
chr1-35966802	3	0	0	5	0	1	2	0	0	3	0	0	0	0	0	1	0	0	1	1
chr1-36057840	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr1-40046843	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	5	2	0	0	0
chr1-40150416	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-42689945	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-44930837	4	0	0	0	0	2	0	0	1	2	1	0	0	2	0	5	9	1	3	0
chr1-44990013	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-47303527	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-50699232	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-62598098	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	5	0	2	0
chr1-6805764	1	0	0	0	1	1	2	0	0	0	0	1	0	0	0	0	1	0	1	0
chr1-85906205	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-87873850	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr1-89026057	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-92467249	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+113520816	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+120038279	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+144921361	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+149186199	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+149617463	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+151115881	5	10	0	3	1	3	0	0	0	0	0	2	0	0	0	0	18	0	0	0
chr1+151116024	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+154620826	1	5	1	0	1	1	0	0	2	0	1	0	0	0	2	2	1	0	0	0
chr1+154960382	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	9	0	6	1
chr1+155437075	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+155899604	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+156011620	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0
chr1+15903002	5	2	0	4	0	6	1	0	3	2	0	0	0	1	0	11	4	0	1	1
chr1+160847859	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+167744950	1	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0
chr1+195708689	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+198195696	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+205734336	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+207330815	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+207357852	1	1	0	1	0	5	1	0	2	2	4	0	0	0	0	13	4	0	1	1
chr1+227039529	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr1+228219387	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+231705159	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+237508769	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+239715082	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+243763744	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	3	3	0	0	0
chr1+246085227	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+25458769	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0
chr1+25628651	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	9	0	0	0	0
chr1+26291444	2	3	0	3	4	0	0	0	9	2	0	0	0	0	1	3	1	0	7	0
chr1+27429753	3	2	0	1	0	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0
chr1+27806365	3	7	0	0	0	1	4	0	0	0	0	0	0	0	0	3	5	0	0	0
chr1+27965449	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+28058776	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	13	0	0	0	0
chr1+28155501	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+31931997	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+32566678	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+45479963	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+45908567	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+52462508	1	6	1	0	5	3	0	0	3	0	0	3	0	3	0	3	12	3	2	1
chr1+58462309	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+61126187	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
chr1+61993024	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+67357242	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr1+70187631	2	1	0	0	0	4	0	0	0	0	0	0	0	0	0	7	0	0	0	0
chr1+76027150	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+78636879	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+84191145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+86271430	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr1+86591763	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
chr1+9515972	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+95994231	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+9740241	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+9935792	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10-102039074	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr10-103163025	3	0	1	0	0	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0
chr10-106683722	1	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr10-110080170	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10-15121443	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10-16230892	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10-23388134	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10-51879522	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10-5716073	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
chr10-57953598	1	0	1	2	0	6	0	0	4	1	1	0	0	0	0	7	14	0	0	0
chr10-60097387	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10-63424986	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr10-74154776	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10-74936231	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+116010826	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+119771059	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr10+15813356	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+38040457	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+3917868	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+5716069	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+62218962	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+62225818	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+63329326	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
chr10+72094982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+72792095	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0
chr10+77528530	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+85159869	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+87912877	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+92088262	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+92493865	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr10+98165950	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-103213254	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-108290538	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-108870897	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-118377933	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-119518126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-28111829	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-2821012	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	3	0	0	0
chr11-30800059	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-38121192	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-38683163	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-46955855	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-47264736	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr11-47296397	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr11-60471395	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-61344952	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr11-62102720	4	2	0	0	0	6	1	0	1	0	3	1	1	6	0	16	3	0	1	0
chr11-62813488	4	0	0	0	0	6	0	0	2	0	2	1	0	0	0	22	3	0	0	1
chr11-64214899	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0
chr11-64495025	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-64994223	1	8	0	0	0	1	0	0	3	0	0	1	0	0	0	2	17	0	0	0
chr11-65364737	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
chr11-65428633	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr11-65438264	1	1	0	0	0	2	2	0	0	0	1	2	0	0	0	2	2	0	0	0
chr11-65466273	1	11	0	0	0	2	2	0	0	0	0	0	0	0	0	7	8	0	0	0
chr11-65480083	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-66098755	1	0	13	0	0	0	0	8	0	1	0	0	1	0	0	0	0	60	0	0
chr11-66273653	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr11-66615561	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-66798073	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr11-668379	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-67163140	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
chr11-672398	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-672472	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-67686240	6	13	2	1	2	16	17	0	11	1	1	4	0	0	0	53	32	0	2	2
chr11-72320931	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-72892432	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	3	0	7	4
chr11-73569458	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-73714985	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-73809322	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
chr11-74072834	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-74114429	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
chr11-75838859	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-75846468	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-75920265	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-8981271	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-93160948	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-93706390	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-9404840	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
chr11-94440251	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+108074592	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+10817360	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0
chr11+116989580	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0
chr11+118022013	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+122822504	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+22841954	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0
chr11+31558898	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+34948172	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+46559434	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+46853044	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+59830636	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+61415261	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+61420133	1	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0
chr11+62639190	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+62816563	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+62868649	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+63662370	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0
chr11+64748754	4	7	0	0	0	6	1	0	2	0	2	6	0	0	3	36	16	3	3	2
chr11+64748813	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+64774606	3	0	0	0	0	5	1	0	5	2	4	0	0	0	0	26	2	0	8	5
chr11+64774832	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+65191901	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1
chr11+65195760	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+65434322	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+65840373	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+65921846	1	1	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
chr11+65924302	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+65995984	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+66224594	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
chr11+66365973	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+66673417	1	2	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0
chr11+67193081	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+67220415	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr11+67280475	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+67608014	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+68088174	1	3	0	0	0	1	0	0	0	0	2	0	0	0	0	3	2	0	0	0
chr11+68505814	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+69412541	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+69412621	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+72100479	1	6	7	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
chr11+73049397	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+73261745	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+75985706	1	1	0	0	0	3	0	0	0	0	1	0	0	0	0	6	0	0	0	0
chr11+77515524	1	11	1	4	5	9	10	0	10	4	3	0	0	0	0	16	27	0	11	2
chr11+9942259	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr12-110491609	6	0	0	1	0	72	3	0	9	1	33	0	0	0	0	181	60	1	7	4
chr12-123471296	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-123648895	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-129609037	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	1	0	0	0
chr12-132606690	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-1717395	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-1764268	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr12-19170178	120	1	0	1	0	119	0	0	1	0	18	0	0	0	0	152	0	0	1	2
chr12-38870135	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr12-42512316	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-46452821	1	6	0	0	0	1	1	0	0	0	0	0	0	0	0	1	3	1	0	0
chr12-49116372	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-49475594	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
chr12-49674290	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr12-50149052	1	0	7	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr12-50204382	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-50933180	10	0	0	0	0	69	0	0	1	0	12	0	0	0	0	136	0	0	0	0
chr12-54271482	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr12-54971204	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-56149422	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-56149840	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr12-57070595	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-57153887	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0
chr12-5762589	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-63649679	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-6513753	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-6515296	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-6813546	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
chr12-6862248	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr12-71003297	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-7212195	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-7435720	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-75407926	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0
chr12-9791159	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12+1012189	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12+107997337	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12+120880258	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12+122013381	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr12+132697851	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12+21490830	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12+2368111	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12+24883164	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12+32831842	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12+42095818	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
