m13_TCELLS	m13_BCELLS	m13_NKCELLS	m13_GRANULOCYTES	m13_MONOCYTES	m36_TCELLS	m36_BCELLS	m36_NKCELLS	m36_GRANULOCYTES	m36_MONOCYTES	m43_TCELLS	m43_BCELLS	m43_NKCELLS	m43_GRANULOCYTES	m43_MONOCYTES	m55_TCELLS	m55_BCELLS	m55_NKCELLS	m55_GRANULOCYTES	m55_MONOCYTES
chr1-180025571	2648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-180088330	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-185698665	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-19198888	26	669	0	0	0	1462	5243	0	0	0	0	0	0	0	0	83	0	0	0	0
chr1-19593307	2204	53	0	2674	2497	1067	2580	0	2939	4734	4156	8300	0	1	0	0	2067	0	3570	461
chr1-202780533	3117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-204289146	2453	0	0	0	0	0	64	0	0	0	26	0	0	0	0	27	639	82	0	0
chr1-204303599	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-204487618	1266	0	0	0	0	10	1863	0	3	0	0	0	0	0	0	236	0	0	0	0
chr1-206605558	2705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-207339468	17	0	0	294	904	2278	329	0	1184	52	0	0	0	0	0	2949	480	0	2070	2763
chr1-20901413	2615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0
chr1-211264242	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-21153337	245	161	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0
chr1-213168769	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-222003145	496	65	746	0	0	0	17	0	3310	0	0	0	0	0	0	55	695	78	0	0
chr1-224437298	2515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-227030449	30	0	0	0	0	14	0	0	0	0	0	0	0	0	0	278	0	0	0	0
chr1-24463401	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-25360016	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-25450820	3218	3798	0	0	0	2429	0	0	0	0	345	0	0	0	0	1301	40	0	0	0
chr1-31353130	1377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-3297480	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-35013453	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-35405615	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-35850130	3331	6774	394	2	107	44	0	0	372	2067	0	2	0	0	0	207	314	0	760	0
chr1-35966802	8150	0	0	3593	0	80	4006	0	0	845	0	0	0	0	0	46	0	0	119	64
chr1-36057840	2130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0
chr1-40046843	2510	0	0	0	0	0	25	0	0	0	0	0	0	2206	0	293	252	0	0	0
chr1-40150416	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-42689945	2276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-44930837	3184	0	0	0	0	8	0	0	15	2551	23	0	0	13331	0	324	1070	3	686	0
chr1-44990013	752	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-47303527	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-50699232	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-62598098	64	0	0	0	0	0	1801	0	3607	0	0	0	0	0	0	85	1558	0	1727	0
chr1-6805764	2570	0	0	0	321	7	3153	0	0	0	0	1	0	0	0	0	11	0	741	0
chr1-85906205	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-87873850	1493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
chr1-89026057	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1-92467249	60	0	0	0	0	1933	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+113520816	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+120038279	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+144921361	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+149186199	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+149617463	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+151115881	2102	11579	0	3483	315	1357	0	0	0	0	0	3295	0	0	0	0	1363	0	0	0
chr1+151116024	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+154620826	1057	1365	31	0	48	296	0	0	5645	0	1053	0	0	0	2410	239	147	0	0	0
chr1+154960382	1721	0	0	0	0	6	0	0	1	38	0	0	0	0	0	28	1205	0	9221	3165
chr1+155437075	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+155899604	3265	0	0	0	0	1407	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+156011620	51	7	0	0	0	1907	0	0	0	0	0	0	0	0	0	212	0	0	0	0
chr1+15903002	2770	14	0	1523	0	2884	113	0	2568	2684	0	0	0	61	0	393	550	0	73	9396
chr1+160847859	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+167744950	23	2269	0	0	0	934	1891	0	0	0	0	0	0	0	0	0	868	0	0	0
chr1+195708689	1954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+198195696	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+205734336	154	0	0	0	0	1660	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+207330815	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+207357852	115	85	0	10	0	6311	39	0	494	2006	3445	0	0	0	0	1339	387	0	103	408
chr1+227039529	1180	0	0	0	0	0	0	0	0	0	1679	0	0	0	0	0	0	0	0	0
chr1+228219387	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+231705159	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+237508769	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+239715082	1859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+243763744	462	0	0	0	0	7	2365	0	0	0	0	0	0	0	0	366	503	0	0	0
chr1+246085227	2885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+25458769	2922	0	0	0	0	217	0	0	480	0	0	0	0	0	0	0	0	0	39	0
chr1+25628651	361	0	0	0	0	1444	0	0	0	0	1245	0	0	0	0	655	0	0	0	0
chr1+26291444	1274	3377	0	118	1421	0	0	0	9059	5831	0	0	0	0	274	383	84	0	2830	0
chr1+27429753	2123	777	0	11	0	3104	0	0	0	0	0	0	0	0	0	924	0	0	0	0
chr1+27806365	4993	6551	0	0	0	229	930	0	0	0	0	0	0	0	0	309	2288	0	0	0
chr1+27965449	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+28058776	6037	0	0	0	0	28	0	0	0	0	0	0	0	0	0	875	0	0	0	0
chr1+28155501	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+31931997	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+32566678	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+45479963	2	3449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+45908567	7174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+52462508	2018	3280	8	0	5353	1097	0	0	4177	0	0	7558	0	12671	0	307	1431	164	84	1379
chr1+58462309	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+61126187	304	0	1	0	0	0	0	0	0	0	0	0	0	0	0	67	284	0	0	0
chr1+61993024	3007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+67357242	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr1+70187631	1912	134	0	0	0	2087	0	0	0	0	0	0	0	0	0	1444	0	0	0	0
chr1+76027150	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+78636879	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+84191145	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+86271430	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
chr1+86591763	5	0	0	96	53	0	0	0	0	0	0	0	0	0	0	0	0	0	1563	0
chr1+9515972	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+95994231	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+9740241	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1+9935792	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10-102039074	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0
chr10-103163025	3466	0	16	0	0	3	0	0	0	0	338	0	0	0	0	83	8	0	0	0
chr10-106683722	5	0	0	0	0	2139	0	0	0	0	0	0	0	112	0	0	0	0	0	0
chr10-110080170	257	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10-15121443	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10-16230892	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10-23388134	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10-51879522	71	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10-5716073	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	133	0	0	0
chr10-57953598	8	0	3034	2420	0	1495	0	0	976	1627	1045	0	0	0	0	937	1562	0	0	0
chr10-60097387	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10-63424986	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr10-74154776	314	499	0	0	0	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10-74936231	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+116010826	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+119771059	27	0	0	0	0	2	0	0	0	0	0	0	0	0	0	202	0	0	0	0
chr10+15813356	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+38040457	2792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+3917868	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+5716069	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+62218962	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+62225818	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+63329326	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	360	0
chr10+72094982	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+72792095	6	0	0	0	0	1449	0	0	0	0	0	0	0	0	0	560	0	0	0	0
chr10+77528530	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+85159869	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+87912877	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+92088262	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10+92493865	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0
chr10+98165950	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-103213254	2294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-108290538	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-108870897	2214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-118377933	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-119518126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-28111829	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-2821012	806	0	0	48	0	27	8	0	0	0	0	0	0	0	0	3	38	0	0	0
chr11-30800059	3144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-38121192	3239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-38683163	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-46955855	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-47264736	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
chr11-47296397	2	0	0	0	0	1726	0	0	0	0	0	0	0	0	0	20	0	0	0	0
chr11-60471395	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-61344952	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	0	0	0
chr11-62102720	539	737	0	0	0	2226	3320	0	24	0	1934	52	1220	5927	0	2359	586	0	173	0
chr11-62813488	1891	0	0	0	0	1403	0	0	169	0	902	219	0	0	0	3242	220	0	0	13
chr11-64214899	1	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1	1	0	0	0
chr11-64495025	781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-64994223	2244	7207	0	0	0	37	0	0	1442	0	0	4	0	0	0	124	2693	0	0	0
chr11-65364737	992	0	0	0	0	0	0	0	0	0	35	0	0	0	0	8	0	0	0	0
chr11-65428633	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0
chr11-65438264	1497	889	0	0	0	1355	1446	0	0	0	2023	73	0	0	0	2	2	0	0	0
chr11-65466273	96	3463	0	0	0	25	252	0	0	0	0	0	0	0	0	1054	1847	0	0	0
chr11-65480083	2870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-66098755	16	0	5787	0	0	0	0	7977	0	10	0	0	622	0	0	0	0	6300	0	0
chr11-66273653	602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0
chr11-66615561	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-66798073	983	0	357	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0
chr11-668379	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-67163140	6	0	0	0	0	0	0	0	0	15	0	0	0	0	0	28	0	0	0	0
chr11-672398	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-672472	5876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-67686240	4116	13245	3	63	313	6402	15845	0	4140	827	121	5486	0	0	0	7128	2940	0	2184	9610
chr11-72320931	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-72892432	406	0	0	0	18	0	0	0	0	1525	0	0	0	0	0	5	293	0	1669	12065
chr11-73569458	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-73714985	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-73809322	3045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	1	0	0	0
chr11-74072834	949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-74114429	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0
chr11-75838859	87	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-75846468	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-75920265	184	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-8981271	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-93160948	2075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-93706390	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11-9404840	1076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0
chr11-94440251	779	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+108074592	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+10817360	1	1	0	0	0	0	0	0	0	0	0	6823	0	0	0	38	16	0	0	0
chr11+116989580	1983	13	0	0	0	0	1117	0	0	0	2	0	0	0	0	0	6	0	0	0
chr11+118022013	1238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+122822504	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+22841954	1891	0	0	0	0	4	0	0	0	0	0	0	0	0	0	125	0	0	0	0
chr11+31558898	2908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+34948172	687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+46559434	2725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+46853044	7	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+59830636	1473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+61415261	1842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+61420133	42	0	3681	0	0	0	0	264	0	0	0	0	0	0	0	0	0	628	0	0
chr11+62639190	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+62816563	3143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+62868649	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+63662370	984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	59	0	25	0
chr11+64748754	2428	2903	0	0	0	2857	119	0	268	0	1198	1192	0	0	7353	2572	1335	135	25	8017
chr11+64748813	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+64774606	1238	0	0	0	0	168	44	0	3693	4715	2612	0	0	0	0	2402	421	0	7644	3331
chr11+64774832	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+65191901	1234	3940	0	0	391	0	0	0	0	0	0	0	0	0	0	164	1075	0	0	19
chr11+65195760	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+65434322	2706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+65840373	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+65921846	1	1	5891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0
chr11+65924302	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+65995984	613	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+66224594	2729	653	0	0	0	0	0	0	171	0	0	0	0	0	0	0	2	0	0	0
chr11+66365973	1245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+66673417	146	44	0	0	0	107	0	0	0	0	0	8	0	0	0	1	0	0	0	0
chr11+67193081	1832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+67220415	2217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394	0	0	0	0
chr11+67280475	3330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+67608014	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+68088174	1	3645	0	0	0	726	0	0	0	0	3940	0	0	0	0	745	9	0	0	0
chr11+68505814	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+69412541	2720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+69412621	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+72100479	994	6771	4556	0	0	2	0	0	0	0	0	0	0	0	0	0	0	73	0	0
chr11+73049397	2821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+73261745	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11+75985706	3	3910	0	0	0	1031	0	0	0	0	91	0	0	0	0	505	0	0	0	0
chr11+77515524	15	7890	45	1708	1204	7186	11156	0	1774	8984	1336	0	0	0	0	3057	6351	0	5082	4475
chr11+9942259	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	0	0	0	0
chr12-110491609	5352	0	0	5	0	39115	1132	0	7029	7	37799	0	0	0	0	27795	10632	39	12853	3176
chr12-123471296	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-123648895	994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-129609037	2	0	0	0	0	5	7	0	0	0	0	0	0	0	0	2	3	0	0	0
chr12-132606690	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-1717395	104	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-1764268	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
chr12-19170178	113788	48	0	2467	0	84622	0	0	12	0	14764	0	0	0	0	18153	0	0	2	31
chr12-38870135	1624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0
chr12-42512316	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-46452821	3515	3519	0	0	0	1	17	0	0	0	0	0	0	0	0	1	1177	312	0	0
chr12-49116372	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-49475594	1866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0
chr12-49674290	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1555	0	0	0
chr12-50149052	4	0	3118	0	0	7	0	0	0	0	0	0	0	0	0	587	0	0	0	0
chr12-50204382	1977	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-50933180	8951	0	0	0	0	33666	0	0	196	0	3262	0	0	0	0	20488	0	0	0	0
chr12-54271482	2848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
chr12-54971204	2	0	2050	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-56149422	189	3826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-56149840	11	0	0	0	0	1736	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr12-57070595	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-57153887	510	0	0	0	0	2041	0	0	0	0	0	0	0	0	0	174	3	0	0	0
chr12-5762589	6	0	0	0	0	0	1187	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-63649679	59	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-6513753	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-6515296	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-6813546	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0
chr12-6862248	12	2858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0
chr12-71003297	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-7212195	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-7435720	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12-75407926	14	0	0	0	0	0	0	0	0	0	1224	0	0	0	0	302	0	0	0	0
chr12-9791159	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12+1012189	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12+107997337	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12+120880258	741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr12+122013381	3912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0
