4_months	6_months	12_months	18_months	24_months
chr10.21529722.+	52	35	2398	0	0
chr10.27553017.+	1	0	0	0	0
chr10.3465316.+	8	0	0	0	0
chr10.48469212.+	22	133	0	39	0
chr10.52867117.+	1	0	0	0	0
chr10.53157176.+	1	0	0	0	0
chr10.6922735.+	288	465	0	0	4
chr10.7148304.+	110	147	0	0	0
chr10.71751817.+	29	84	0	0	0
chr10.74168432.+	15	1	124	0	0
chr10.75610831.+	4039	2013	945	343	244
chr10.92544113.+	2	0	0	0	0
chr10.92846937.+	41	0	0	0	0
chr11.102475957.-	5	0	0	0	0
chr11.110808877.-	252	1067	0	23	57
chr11.115986423.-	1	1	0	0	0
chr11.116853079.-	54	0	0	0	0
chr11.116980877.-	38	11	0	0	0
chr11.118213795.-	68	46	0	62	0
chr11.118215505.-	4	0	0	0	0
chr11.121484063.-	6	0	0	0	0
chr11.32958465.-	1	0	0	0	0
chr11.33927576.-	152	61	0	0	0
chr11.33929909.-	3	83	0	0	0
chr11.42572265.-	8	0	0	0	0
chr11.49065086.-	1	0	0	0	0
chr11.64857610.-	1	180	0	0	0
chr11.65927324.-	32	0	0	0	0
chr11.65928657.-	18	0	0	0	0
chr11.68010100.-	14	0	0	0	0
chr11.68379121.-	78	47	0	0	0
chr11.68750581.-	86	142	42	0	0
chr11.73143752.-	221	329	0	80	0
chr11.73521550.-	11	19	0	0	0
chr11.78349380.-	5	59	0	0	0
chr11.95371625.-	15	32	0	0	0
chr11.96338675.-	84	373	0	0	0
chr11.101008745.+	77	0	0	0	0
chr11.102312642.+	588	1486	882	51	165
chr11.10640902.+	71	265	0	9	0
chr11.118169005.+	1	0	0	0	0
chr11.119169239.+	217	261	0	0	0
chr11.122697208.+	56	0	0	0	0
chr11.122817760.+	27	27	54	52	0
chr11.128340548.+	137	132	0	0	0
chr11.130244615.+	208	156	3460	51	44
chr11.20361741.+	507	85	5	0	0
chr11.3379639.+	3	2	0	0	0
chr11.39371181.+	34	12	0	0	0
chr11.45827714.+	1	0	0	0	0
chr11.46343370.+	900	229	0	0	0
chr11.47269370.+	3	110	0	0	0
chr11.57565922.+	17	0	0	0	0
chr11.61036809.+	5	2	0	0	0
chr11.62601037.+	116	0	0	0	0
chr11.64306963.+	6	0	0	0	0
chr11.65420670.+	1473	624	2835	132	109
chr11.65894261.+	95	93	0	0	0
chr11.65927747.+	7	3	0	0	0
chr11.66545498.+	157	28	0	0	0
chr11.6747004.+	13	0	0	0	0
chr11.67651528.+	145	90	0	198	0
chr11.72809272.+	11	0	0	0	0
chr11.844331.+	32	0	0	0	0
chr11.86302431.+	13	145	0	0	0
chr12.104580667.-	45	34	0	0	0
chr12.108613270.-	17	0	0	0	0
chr12.110004755.-	20	0	0	0	0
chr12.110624765.-	1	0	0	0	0
chr12.111433847.-	286	137	10	13	0
chr12.120848237.-	12	7	0	0	0
chr12.121686118.-	151	266	2502	0	76
chr12.121808939.-	1	0	0	0	0
chr12.122888803.-	88	54	0	0	0
chr12.124881087.-	19	3	0	0	0
chr12.13156301.-	2	39	0	0	0
chr12.14256522.-	27	2	0	0	0
chr12.14957379.-	27	12	0	0	0
chr12.14981716.-	61	1	0	0	0
chr12.15570806.-	589	394	0	0	0
chr12.1662871.-	99	0	0	0	0
chr12.19361441.-	1	0	0	0	0
chr12.32391653.-	8	15	0	0	0
chr12.45728305.-	188	1597	132	6	13
chr12.47811958.-	91	230	0	0	0
chr12.49019309.-	38	270	1487	0	0
chr12.50922821.-	28	20	0	0	0
chr12.51322147.-	9	1	0	0	0
chr12.54303228.-	14	61	0	0	0
chr12.55929833.-	125	52	68	0	0
chr12.66829963.-	2712	3149	10	22	93
chr12.6950850.-	115	0	0	0	0
chr12.7678372.-	24	0	0	0	0
chr12.92166180.-	184	438	0	18	31
chr12.9870467.-	125	137	3	0	0
chr12.9995784.-	105	71	0	0	1
chr12.104478752.+	111	156	0	0	0
chr12.108567714.+	77	23	0	0	0
chr12.108633584.+	192	658	1659	1	21
chr12.108692330.+	14	2	0	0	0
chr12.116359838.+	193	48	0	0	63
chr12.11799765.+	28	45	0	0	0
chr12.118237131.+	35	0	0	0	0
chr12.118320763.+	97	53	0	0	0
chr12.120707835.+	1	2	0	0	0
chr12.121969216.+	1082	606	0	28	9
chr12.123744708.+	12	8	0	0	0
chr12.130025205.+	1	0	0	0	0
chr12.132444628.+	57	53	4	0	0
chr12.14960479.+	709	1126	1	0	0
chr12.27016299.+	1	69	0	0	0
chr12.29165192.+	33	0	0	0	0
chr12.31659500.+	163	750	75	0	0
chr12.32532761.+	49	203	0	0	8
chr12.32589044.+	115	18	0	0	0
chr12.4290048.+	72	0	0	0	0
chr12.47707451.+	2	0	0	0	0
chr12.54303665.+	104	162	0	0	7
chr12.54307731.+	307	312	3459	67	1
chr12.54412715.+	494	1649	17	0	9
chr12.57431310.+	22	0	0	0	0
chr12.57757529.+	1	0	0	0	0
chr12.7959198.+	14	46	0	0	0
chr12.8913942.+	51	0	0	0	0
chr12.9655591.+	183	8	1307	54	77
chr12.9737507.+	107	57	0	0	0
chr12.9760578.+	182	94	0	0	0
chr12.990213.+	49	0	0	0	0
chr13.21476622.-	92	89	0	0	0
chr13.26301678.-	21	46	0	0	0
chr13.43345961.-	98	282	284	0	0
chr13.44116069.-	46	55	0	0	0
chr13.45385001.-	60	40	954	0	0
chr13.48238260.-	152	24	0	0	0
chr13.48493215.-	85	154	0	0	42
chr13.49528626.-	11	33	0	0	0
chr13.49530777.-	6	0	0	0	0
chr13.50894430.-	406	36	0	1	0
chr13.51062057.-	24	89	0	0	0
chr13.52193176.-	32	5	1080	0	0
chr13.77298134.-	985	3352	485	0	80
chr13.87121620.-	2200	988	5027	209	156
chr13.95479505.-	17	6	0	0	0
chr13.97388085.-	6	0	0	0	0
chr13.99230568.-	9	5	0	0	0
chr13.106866931.+	8	1	102	0	0
chr13.110705271.+	18	2	0	0	0
chr13.110711824.+	46	0	0	0	0
chr13.21038647.+	255	432	0	0	0
chr13.30371004.+	3	0	0	0	0
chr13.44274289.+	198	247	0	48	48
chr13.45386033.+	2	87	0	8	0
chr13.46199709.+	26	21	0	6	0
chr13.48492994.+	16	54	0	0	0
chr13.48571996.+	366	332	0	144	0
chr13.50892619.+	35	39	0	1	0
chr13.50893314.+	4249	3462	3362	365	170
chr13.52651813.+	81	303	29	0	3
chr13.71832740.+	13	1	222	0	0
chr14.102902995.-	723	311	0	69	0
chr14.103786176.-	1	0	0	0	0
chr14.20370147.-	1	0	0	0	0
chr14.38174492.-	1	0	0	0	0
chr14.49971738.-	79	175	0	0	0
chr14.51860709.-	9	55	0	0	0
chr14.55645633.-	19	0	0	0	7
chr14.62492565.-	1	1	0	0	0
chr14.63716829.-	1	0	0	0	0
chr14.64505118.-	64	90	0	0	0
chr14.65211787.-	6	0	0	0	0
chr14.67190326.-	1	0	0	0	0
chr14.73742524.-	1	154	0	0	0
chr14.76740333.-	1	0	0	0	0
chr14.77034800.-	176	23	0	0	0
chr14.81672239.-	1	0	0	0	0
chr14.84110689.-	5	6	0	0	0
chr14.89939921.-	1	0	0	0	0
chr14.92669032.-	84	29	0	1	0
chr14.101829185.+	2	35	0	0	0
chr14.101875687.+	64	51	0	0	0
chr14.102262296.+	22	0	0	0	0
chr14.103387627.+	1	0	0	0	0
chr14.105173773.+	15	14	0	0	0
chr14.23010061.+	76	46	0	0	0
chr14.35122239.+	40	0	0	0	0
chr14.35154886.+	250	26	0	29	0
chr14.35286165.+	4	88	0	0	0
chr14.49946272.+	1	0	0	0	0
chr14.49970582.+	282	330	2	29	27
chr14.50465956.+	1	0	0	0	0
chr14.54626982.+	48	14	0	0	0
chr14.64363075.+	1	0	0	0	0
chr14.75286192.+	64	57	0	0	0
chr14.76963843.+	3	0	0	0	0
chr14.77038591.+	184	143	0	0	1
chr14.89616611.+	96	205	0	59	0
chr14.95520045.+	438	400	785	0	9
chr15_KI270849v1_alt.53610.-	4	6	1	0	0
chr15_KI270905v1_alt.3553661.-	16	2	0	0	0
chr15_KI270905v1_alt.569909.-	1	0	0	0	0
chr15.20506706.-	1	0	0	0	0
chr15.25863846.-	7	1	0	0	49
chr15.31267845.-	2	1	0	0	0
chr15.40103976.-	23	0	0	0	0
chr15.41635082.-	1	1	0	0	0
chr15.44730241.-	1	1	6	0	0
chr15.54518177.-	9	25	0	0	0
chr15.66419403.-	2	0	0	0	0
chr15.68277061.-	49	10	0	0	0
chr15.69668391.-	429	54	0	0	60
chr15.73457474.-	1	0	0	0	0
chr15.74789896.-	138	14	0	0	0
chr15.75126522.-	61	1	0	0	0
chr15.78167460.-	3	0	0	0	0
chr15.82651013.-	1	0	0	0	0
chr15.82849980.-	4	80	0	1	0
chr15.85381686.-	278	30	785	9	0
chr15.85474924.-	5	26	0	0	0
chr15.85691816.-	184	541	12	0	0
chr15.90001857.-	27	0	0	0	0
chr15.90831883.-	4	16	0	0	0
chr15.99250264.-	82	24	1132	8	0
chr15.19964869.+	1	0	0	0	0
chr15.42606311.+	6	4	0	0	0
chr15.44386078.+	14	0	0	0	0
chr15.56774802.+	5	0	0	0	0
chr15.66617116.+	3126	1559	1727	87	311
chr15.67098230.+	192	5	11	0	2
chr15.78167457.+	443	725	0	6	32
chr15.82856170.+	131	10	0	0	92
chr15.91028417.+	1	145	0	0	0
chr15.92809862.+	287	789	487	18	53
chr15.94230351.+	117	17	499	0	0
chr16.10869236.-	10	1	0	0	0
chr16.11300340.-	47	116	0	9	0
chr16.12239756.-	27	0	0	0	0
chr16.12369319.-	1	0	0	0	0
chr16.18805156.-	3	39	1079	0	0
chr16.21541128.-	13	6	0	0	0
chr16.23640891.-	166	88	1051	0	0
chr16.23958458.-	32	20	0	0	0
chr16.29627144.-	37	0	0	0	0
chr16.30461061.-	32	37	0	0	0
chr16.30592608.-	60	293	31	0	0
chr16.3087220.-	4	0	0	0	0
chr16.3088286.-	4	0	0	0	0
chr16.3249674.-	1	0	0	0	0
chr16.3580779.-	23	43	0	0	0
chr16.56280096.-	29	1	0	0	0
chr16.57689170.-	158	261	54	14	0
chr16.66520264.-	314	329	0	0	0
chr16.68333201.-	10	1	0	0	0
chr16.68469283.-	69	23	0	0	0
chr16.69727572.-	3	0	0	0	0
chr16.70178141.-	1	0	0	0	0
chr16.71931647.-	2	0	0	0	0
chr16.81471291.-	16	48	0	1	0
chr16.84600572.-	219	21	0	0	1
chr16.88802968.-	74	26	0	0	0
chr16.88978217.-	42	86	0	0	11
chr16.1534412.+	5	59	0	0	0
chr16.17377912.+	128	249	3	0	0
chr16.20745063.+	232	433	0	0	0
chr16.21524880.+	2	15	0	0	0
chr16.21525137.+	141	445	4	35	0
chr16.2301592.+	1	0	0	0	0
chr16.23898506.+	5	2	0	0	0
chr16.3055664.+	4	5	0	0	0
chr16.3075491.+	129	197	2	17	0
chr16.48613168.+	24	165	0	0	0
chr16.50683012.+	11	0	0	0	0
chr16.57535661.+	153	348	0	0	0
chr16.58237725.+	1	0	0	0	0
chr16.66516415.+	88	1421	0	84	2
chr16.70259907.+	1	0	0	0	0
chr16.74665916.+	2	0	0	0	0
chr16.74701046.+	23	0	0	0	0
chr16.79083988.+	14	17	0	0	0
chr16.81737200.+	589	222	0	0	11
chr16.84969975.+	1	0	0	0	0
chr16.85055374.+	26	17	0	0	0
chr16.87879783.+	213	375	0	0	0
chr16.88782722.+	288	266	0	0	0
chr16.9086454.+	4	0	0	0	0
chr17_GL000205v2_random.85990.+	3	1	0	0	0
chr17_KI270861v1_alt.153672.+	3	11	4	2	0
chr17.10542197.-	1	0	0	0	0
chr17.11293008.-	1	0	0	0	0
chr17.31159238.-	5	0	0	0	0
chr17.35268600.-	3	0	0	0	0
chr17.40108867.-	145	55	0	31	0
chr17.417371.-	5	0	0	0	0
chr17.43369822.-	645	1891	7	27	37
chr17.47942199.-	44	1	0	0	0
chr17.48492240.-	1373	1560	359	34	0
chr17.48837190.-	46	35	0	0	0
chr17.50156132.-	34	30	40	0	0
chr17.57364252.-	14	0	0	6	0
chr17.57387900.-	3	0	0	0	0
chr17.57390880.-	1	0	0	0	0
chr17.57496929.-	131	213	0	0	0
chr17.58010095.-	1	0	0	0	0
chr17.58335857.-	387	236	0	0	0
chr17.59786085.-	45	0	0	23	0
chr17.62480211.-	21	17	8	0	0
chr17.65243549.-	1	0	0	0	0
chr17.69176623.-	225	97	0	0	0
chr17.70038332.-	1	0	0	0	0
chr17.7482883.-	3	24	0	1	0
chr17.76501940.-	242	13	0	12	0
chr17.76580444.-	2	1	0	0	0
chr17.78131526.-	300	344	0	0	4
chr17.78325949.-	17	0	0	0	0
chr17.81438121.-	19	119	0	0	0
chr17.81976567.-	1	0	0	0	0
chr17.81976590.-	4363	3217	2360	247	192
chr17.82884276.-	174	702	32	78	0
chr17.9474855.-	71	73	0	0	2
chr17.10021294.+	187	264	0	0	0
chr17.1198397.+	170	62	1	0	0
chr17.1723636.+	2	6	22	0	0
chr17.17415935.+	62	0	0	0	0
chr17.39170404.+	96	42	0	2	0
chr17.39678934.+	81	87	0	0	0
chr17.41842772.+	1	0	0	0	0
chr17.42531292.+	87	1	0	0	0
chr17.43171534.+	6	0	0	0	0
chr17.44095298.+	77	89	0	0	0
chr17.45160313.+	67	0	0	0	0
chr17.55113486.+	11	0	0	0	0
chr17.57376638.+	24	0	0	0	0
chr17.59162862.+	2677	2374	3358	387	291
chr17.59787555.+	11	0	0	0	0
chr17.61811139.+	9	1	0	0	0
chr17.64015004.+	327	563	0	94	0
chr17.76271867.+	27	0	0	0	0
chr17.76598629.+	104	75	0	0	0
chr17.7687169.+	377	212	524	0	47
chr17.77373634.+	31	0	0	0	0
chr17.77388613.+	323	459	1540	49	39
chr17.7884066.+	109	78	0	0	0
chr17.80779894.+	215	141	0	4	2
chr17.8191956.+	563	449	0	7	10
chr17.82884607.+	48	139	0	0	0
chr17.83117085.+	2	0	7	0	0
chr17.9801442.+	1	0	0	0	0
chr18.12679687.-	156	271	0	0	0
chr18.12838185.-	83	10	0	0	0
chr18.2640256.-	38	7	0	0	0
chr18.41998677.-	26	0	0	0	0
chr18.5217124.-	1	0	0	0	0
chr18.58886332.-	85	95	0	1	0
chr18.59881995.-	3164	1865	732	57	101
chr18.60145693.-	27	37	0	0	0
chr18.74378015.-	574	437	0	25	29
chr18.77096073.-	217	838	987	0	0
chr18.13452797.+	16	25	0	0	0
chr18.3605328.+	3	0	0	4	0
chr18.41942790.+	263	118	0	0	0
chr18.5465961.+	9	0	0	0	0
chr18.55478015.+	3664	3051	2431	176	376
chr18.63097691.+	7	0	0	0	0
chr18.63234814.+	142	128	0	0	0
chr18.63838180.+	3	0	0	0	0
chr18.74163347.+	5	12	0	0	0
chr18.77102129.+	7	0	0	0	0
chr18.77215569.+	1	0	0	0	0
chr19.11323180.-	3	48	0	0	0
chr19.1266386.-	123	51	0	0	0
chr19.12666354.-	1	47	688	0	0
chr19.13152547.-	162	117	0	0	14
chr19.13182936.-	65	0	0	0	0
chr19.17126569.-	137	0	0	0	0
chr19.17405997.-	606	937	233	1	71
chr19.18017465.-	64	79	0	0	7
chr19.2265234.-	70	580	0	0	18
chr19.3137151.-	32	15	0	0	0
chr19.3146500.-	147	0	0	8	0
chr19.35908522.-	46	0	0	0	0
chr19.41261332.-	19	202	0	0	0
chr19.50022601.-	1	0	0	0	0
chr19.5442342.-	1	0	0	0	0
chr19.6802867.-	137	155	0	0	0
chr19.8666322.-	35	14	0	0	0
chr19.12790958.+	582	1102	0	0	0
chr19.13164867.+	119	126	0	4	3
chr19.1367850.+	68	226	0	0	0
chr19.13837374.+	1969	1137	3	69	159
chr19.14371886.+	340	312	0	13	0
chr19.18023791.+	261	30	0	0	0
chr19.18030115.+	41	97	0	0	0
chr19.18288392.+	12	10	0	0	0
chr19.1876893.+	258	89	0	23	0
chr19.1904040.+	51	44	0	0	0
chr19.2051977.+	33	0	0	0	0
chr19.2070355.+	4	0	0	0	0
chr19.28338805.+	1	0	0	0	0
chr19.28480950.+	1	0	0	0	0
chr19.3146497.+	1	0	0	0	0
chr19.3505576.+	214	147	0	0	0
chr19.35437515.+	174	488	867	0	22
chr19.39093244.+	1	0	0	0	0
chr19.41878194.+	461	381	11	20	9
chr19.44677975.+	1	0	0	0	0
chr19.48964289.+	555	695	1422	0	0
chr19.51127379.+	79	348	1590	15	0
chr19.6236955.+	9	0	0	0	0
chr19.8500923.+	2	0	0	0	0
chr2.101621563.-	110	209	0	0	0
chr2.105630349.-	1	0	0	0	0
chr2.111494704.-	1	3	0	0	0
chr2.111698953.-	193	353	0	13	0
chr2.132622995.-	1	0	0	0	0
chr2.143124538.-	78	10	0	0	0
chr2.157435219.-	23	16	0	0	0
chr2.157831938.-	8	0	0	0	0
chr2.174595359.-	92	163	0	0	12
chr2.191021265.-	762	1084	906	0	0
chr2.191194348.-	2	1	0	0	0
chr2.200920182.-	16	30	0	0	0
chr2.201129057.-	124	0	0	0	0
chr2.219206243.-	77	1035	70	48	69
chr2.231642566.-	114	30	0	0	0
chr2.231661679.-	662	558	6	0	2
chr2.237436714.-	840	680	0	0	1
chr2.25274508.-	77	9596	15464	739	354
chr2.26411557.-	2811	2582	20	111	62
chr2.30025755.-	1	0	0	0	0
chr2.42967339.-	3	0	0	0	0
chr2.42969947.-	75	396	0	0	0
chr2.43215952.-	6	0	0	0	0
chr2.45921517.-	18	3	0	0	0
chr2.56611618.-	1	0	0	0	0
chr2.58768357.-	15	201	0	0	0
chr2.6910610.-	15	0	0	0	0
chr2.69946507.-	186	253	15	0	0
chr2.75710149.-	19	88	0	1	0
chr2.85438649.-	141	20	0	0	0
chr2.87291240.-	6	3	0	0	0
chr2.87486654.-	6	0	0	0	0
chr2.96209379.-	46	0	0	0	0
chr2.9680960.-	2786	1541	914	182	141
chr2.9681456.-	126	153	0	0	68
chr2.111570323.+	17	180	0	0	0
chr2.112707507.+	61	36	0	0	0
chr2.113890386.+	225	98	0	0	0
chr2.11702373.+	3423	1428	3823	129	144
chr2.11755960.+	34	113	0	0	0
chr2.125812303.+	1	0	0	0	0
chr2.126659041.+	62	148	0	0	8
chr2.127701100.+	165	31	0	0	0
chr2.130182000.+	3	2	0	0	0
chr2.136137697.+	2624	2985	323	159	11
chr2.141534166.+	180	86	0	0	0
chr2.142505628.+	1	0	0	0	0
chr2.143323808.+	6	0	0	0	0
chr2.152485681.+	107	31	0	0	0
chr2.16441206.+	193	140	0	0	0
chr2.167148939.+	53	17	0	0	0
chr2.173812218.+	1	0	0	0	0
chr2.174493876.+	25	13	49	0	0
chr2.176407523.+	1	0	0	0	0
chr2.177165050.+	26	12	0	0	0
chr2.178479591.+	39	1782	38	29	40
chr2.180101035.+	79	67	0	0	0
chr2.181421162.+	7	5	0	0	0
chr2.189763064.+	52	68	456	0	64
chr2.191021232.+	24	0	0	0	0
chr2.200509406.+	50	7	0	0	0
chr2.200865433.+	13	2	0	0	0
chr2.213121444.+	82	143	0	0	0
chr2.218285967.+	168	13	0	0	25
chr2.226030663.+	102	0	0	0	0
chr2.230879253.+	28	0	0	0	0
chr2.28750310.+	22	0	0	0	0
chr2.28751910.+	35	0	0	0	0
chr2.36967929.+	111	7	0	0	0
chr2.47315785.+	31	0	0	0	0
chr2.49940704.+	157	491	19	36	0
chr2.54588581.+	3	0	0	0	0
chr2.55103237.+	1	14	0	0	0
chr2.58728114.+	26	0	0	0	0
chr2.58895879.+	899	801	0	86	0
chr2.6878268.+	18	0	0	0	0
chr2.7004533.+	94	118	16	9	0
chr2.74620548.+	157	125	0	0	0
chr2.8432401.+	9	0	0	0	0
chr2.84890077.+	16	19	0	0	0
chr2.85615970.+	41	0	0	0	0
chr2.8669860.+	1	0	0	0	0
chr2.87455826.+	4	4	6	0	0
chr2.96758783.+	641	643	16	36	0
chr2.9680957.+	2	0	0	0	0
chr20.2524717.-	14	101	2120	23	0
chr20.32673847.-	356	622	216	0	0
chr20.35244623.-	2	0	0	0	0
chr20.35447187.-	8	1	0	0	0
chr20.4013981.-	79	0	0	0	0
chr20.48858658.-	46	0	0	0	0
chr20.53595892.-	33	7	0	0	0
chr20.53624157.-	528	260	7	1	11
chr20.53643976.-	118	75	0	0	0
chr20.53749205.-	147	107	0	0	0
chr20.57479688.-	44	14	0	0	0
chr20.57629477.-	21	0	0	0	0
chr20.588078.-	10	0	0	0	0
chr20.60046729.-	1491	2146	1690	101	4
chr20.8602431.-	1312	1434	1898	114	77
chr20.9161912.-	6	178	76	18	0
chr20.17970804.+	109	129	0	0	0
chr20.22162465.+	118	998	4	0	25
chr20.24376614.+	98	56	0	0	0
chr20.32672384.+	133	5982	2163	28	34
chr20.3404180.+	2	0	0	0	0
chr20.35769966.+	66	29	1481	0	25
chr20.38611722.+	1	0	0	0	0
chr20.4013189.+	40	57	0	0	1
chr20.43765128.+	1	0	0	0	0
chr20.47509130.+	33	4	0	0	0
chr20.50484244.+	75	4	0	0	0
chr20.50746947.+	27	107	0	0	0
chr20.53641547.+	845	541	1172	0	142
chr20.53678624.+	3941	4171	1482	193	128
chr20.53752130.+	110	114	0	0	0
chr20.53754660.+	316	287	1362	0	31
chr20.53879837.+	153	110	0	0	4
chr20.5653721.+	65	51	0	1	0
chr21.14483353.-	12	199	0	0	0
chr21.14543245.-	42	103	0	0	0
chr21.15274758.-	608	118	0	0	0
chr21.25934914.-	2	0	0	0	0
chr21.29171790.-	19	219	0	45	0
chr21.34893184.-	5	66	0	0	6
chr21.37235189.-	1	1	0	0	0
chr21.38793652.-	1	0	0	0	0
chr21.41923562.-	36	63	0	0	0
chr21.42063064.-	473	309	0	0	0
chr21.42188211.-	52	872	0	201	0
chr21.42502991.-	1	0	0	0	0
chr21.15731396.+	1	61	0	0	0
chr21.20590731.+	48	4	0	0	0
chr21.34965896.+	37	0	0	0	29
chr21.5103663.+	16	290	4	15	2
chr22.16600382.-	3	0	0	0	0
chr22.17629560.-	1	0	0	0	0
chr22.20393496.-	1	0	0	0	0
chr22.24141521.-	539	239	19	0	6
chr22.28802467.-	20	0	0	0	0
chr22.30605885.-	13	1	0	0	0
chr22.36386445.-	19	81	0	0	0
chr22.37267334.-	6	0	0	0	0
chr22.37282870.-	59	97	2655	60	0
chr22.38400418.-	1	0	0	0	0
chr22.40059503.-	92	12	0	0	33
chr22.40215807.-	2908	2075	4878	323	361
chr22.50192117.-	21	19	0	12	0
chr22.50309362.-	39	0	0	0	19
chr22.26316666.+	1	0	0	0	0
chr22.31216660.+	21	0	0	0	0
chr22.36376096.+	1	0	0	0	0
chr22.36542818.+	1	0	0	0	0
chr22.37281643.+	638	515	0	60	0
chr22.37281887.+	17	0	0	0	0
chr22.37485619.+	16	0	0	0	0
chr22.42382282.+	1	0	0	0	0
chr22.42443689.+	800	6859	258	167	104
chr22.46004768.+	13	0	0	0	0
chr22.50084864.+	2070	1960	816	81	32
chr22.50086256.+	760	276	776	118	0
chr22.50538289.+	201	1160	708	16	59
chr3.100089110.-	9	46	0	0	0
chr3.101828570.-	7	0	0	0	0
chr3.10198913.-	12	1	0	0	0
chr3.109338093.-	153	44	0	0	0
chr3.127801791.-	12	15	0	0	0
chr3.15030073.-	1	0	0	0	0
chr3.151238005.-	2	0	0	0	0
chr3.151873789.-	73	83	0	0	0
chr3.156818833.-	28	0	0	0	0
chr3.171290508.-	82	36	0	0	0
chr3.17323545.-	41	9	0	0	0
chr3.183343111.-	601	487	1	35	0
chr3.191259289.-	44	57	0	0	0
chr3.194683655.-	312	281	0	0	0
chr3.195259364.-	679	182	0	52	0
chr3.29353982.-	2	0	0	0	0
chr3.4500337.-	151	21	0	0	49
chr3.48685778.-	178	164	249	0	0
chr3.50228088.-	60	3	2548	0	0
chr3.50235552.-	254	109	897	16	15
chr3.50338315.-	49	8	1106	0	5
chr3.52054253.-	16	0	0	0	0
chr3.52282919.-	1	28	0	0	0
