4_months	6_months	12_months	18_months	24_months
chr10.943640.-	1	0	0	0	0
chr10.96673210.-	204	96	6	12	17
chr10.98134835.-	2	1	0	0	1
chr10.988491.-	39	68	4	7	9
chr10.100229208.+	2	2	0	0	0
chr10.102118608.+	1	0	0	0	0
chr10.119516996.+	8	3	0	0	0
chr10.12186388.+	1	2	0	0	0
chr10.13293569.+	1	0	0	0	0
chr10.21529722.+	4	4	3	0	0
chr10.27553017.+	1	0	0	0	0
chr10.3465316.+	1	0	0	0	0
chr10.48469212.+	5	5	0	1	0
chr10.52867117.+	1	0	0	0	0
chr10.53157176.+	1	0	0	0	0
chr10.6922735.+	21	15	0	0	1
chr10.7148304.+	14	7	0	0	0
chr10.71751817.+	1	3	0	0	0
chr10.74168432.+	4	1	1	0	0
chr10.75610831.+	125	63	3	16	10
chr10.92544113.+	2	0	0	0	0
chr10.92846937.+	2	0	0	0	0
chr11.102475957.-	1	0	0	0	0
chr11.110808877.-	28	47	0	1	4
chr11.115986423.-	1	1	0	0	0
chr11.116853079.-	5	0	0	0	0
chr11.116980877.-	10	3	0	0	0
chr11.118213795.-	7	7	0	1	0
chr11.118215505.-	2	0	0	0	0
chr11.121484063.-	1	0	0	0	0
chr11.32958465.-	1	0	0	0	0
chr11.33927576.-	6	4	0	0	0
chr11.33929909.-	1	1	0	0	0
chr11.42572265.-	2	0	0	0	0
chr11.49065086.-	1	0	0	0	0
chr11.64857610.-	1	1	0	0	0
chr11.65927324.-	4	0	0	0	0
chr11.65928657.-	6	0	0	0	0
chr11.68010100.-	1	0	0	0	0
chr11.68379121.-	11	3	0	0	0
chr11.68750581.-	15	6	1	0	0
chr11.73143752.-	18	18	0	3	0
chr11.73521550.-	4	3	0	0	0
chr11.78349380.-	3	1	0	0	0
chr11.95371625.-	3	3	0	0	0
chr11.96338675.-	9	4	0	0	0
chr11.101008745.+	3	0	0	0	0
chr11.102312642.+	60	73	2	5	7
chr11.10640902.+	8	5	0	2	0
chr11.118169005.+	1	0	0	0	0
chr11.119169239.+	20	7	0	0	0
chr11.122697208.+	3	0	0	0	0
chr11.122817760.+	7	3	1	2	0
chr11.128340548.+	8	7	0	0	0
chr11.130244615.+	22	23	5	4	3
chr11.20361741.+	26	11	2	0	0
chr11.3379639.+	2	1	0	0	0
chr11.39371181.+	3	2	0	0	0
chr11.45827714.+	1	0	0	0	0
chr11.46343370.+	51	16	0	0	0
chr11.47269370.+	1	1	0	0	0
chr11.57565922.+	1	0	0	0	0
chr11.61036809.+	1	2	0	0	0
chr11.62601037.+	3	0	0	0	0
chr11.64306963.+	1	0	0	0	0
chr11.65420670.+	75	29	12	11	9
chr11.65894261.+	5	7	0	0	0
chr11.65927747.+	2	1	0	0	0
chr11.66545498.+	4	1	0	0	0
chr11.6747004.+	3	0	0	0	0
chr11.67651528.+	15	2	0	4	0
chr11.72809272.+	1	0	0	0	0
chr11.844331.+	2	0	0	0	0
chr11.86302431.+	3	2	0	0	0
chr12.104580667.-	1	2	0	0	0
chr12.108613270.-	1	0	0	0	0
chr12.110004755.-	1	0	0	0	0
chr12.110624765.-	1	0	0	0	0
chr12.111433847.-	19	8	1	1	0
chr12.120848237.-	2	1	0	0	0
chr12.121686118.-	18	17	2	0	1
chr12.121808939.-	1	0	0	0	0
chr12.122888803.-	8	4	0	0	0
chr12.124881087.-	1	1	0	0	0
chr12.13156301.-	2	4	0	0	0
chr12.14256522.-	2	1	0	0	0
chr12.14957379.-	6	3	0	0	0
chr12.14981716.-	6	1	0	0	0
chr12.15570806.-	34	19	0	0	0
chr12.1662871.-	2	0	0	0	0
chr12.19361441.-	1	0	0	0	0
chr12.32391653.-	1	1	0	0	0
chr12.45728305.-	16	41	1	1	2
chr12.47811958.-	11	13	0	0	0
chr12.49019309.-	6	4	1	0	0
chr12.50922821.-	5	3	0	0	0
chr12.51322147.-	1	1	0	0	0
chr12.54303228.-	3	6	0	0	0
chr12.55929833.-	7	3	1	0	0
chr12.66829963.-	142	112	3	2	5
chr12.6950850.-	4	0	0	0	0
chr12.7678372.-	1	0	0	0	0
chr12.92166180.-	16	36	0	3	1
chr12.9870467.-	12	5	1	0	0
chr12.9995784.-	15	5	0	0	1
chr12.104478752.+	12	3	0	0	0
chr12.108567714.+	5	2	0	0	0
chr12.108633584.+	7	34	7	1	1
chr12.108692330.+	3	1	0	0	0
chr12.116359838.+	20	2	0	0	1
chr12.11799765.+	2	5	0	0	0
chr12.118237131.+	2	0	0	0	0
chr12.118320763.+	8	2	0	0	0
chr12.120707835.+	1	1	0	0	0
chr12.121969216.+	54	21	0	1	2
chr12.123744708.+	3	2	0	0	0
chr12.130025205.+	1	0	0	0	0
chr12.132444628.+	1	2	1	0	0
chr12.14960479.+	40	25	1	0	0
chr12.27016299.+	1	2	0	0	0
chr12.29165192.+	1	0	0	0	0
chr12.31659500.+	13	3	1	0	0
chr12.32532761.+	5	6	0	0	1
chr12.32589044.+	8	4	0	0	0
chr12.4290048.+	2	0	0	0	0
chr12.47707451.+	2	0	0	0	0
chr12.54303665.+	13	5	0	0	1
chr12.54307731.+	35	23	2	2	1
chr12.54412715.+	38	51	1	0	1
chr12.57431310.+	3	0	0	0	0
chr12.57757529.+	1	0	0	0	0
chr12.7959198.+	2	2	0	0	0
chr12.8913942.+	4	0	0	0	0
chr12.9655591.+	17	3	4	1	1
chr12.9737507.+	16	2	0	0	0
chr12.9760578.+	13	12	0	0	0
chr12.990213.+	3	0	0	0	0
chr13.21476622.-	8	4	0	0	0
chr13.26301678.-	3	3	0	0	0
chr13.43345961.-	9	14	2	0	0
chr13.44116069.-	4	3	0	0	0
chr13.45385001.-	7	1	2	0	0
chr13.48238260.-	20	6	0	0	0
chr13.48493215.-	14	5	0	0	1
chr13.49528626.-	1	4	0	0	0
chr13.49530777.-	2	0	0	0	0
chr13.50894430.-	32	6	0	1	0
chr13.51062057.-	4	7	0	0	0
chr13.52193176.-	5	2	1	0	0
chr13.77298134.-	70	94	4	0	7
chr13.87121620.-	127	67	2	13	9
chr13.95479505.-	1	1	0	0	0
chr13.97388085.-	1	0	0	0	0
chr13.99230568.-	2	1	0	0	0
chr13.106866931.+	5	1	1	0	0
chr13.110705271.+	3	1	0	0	0
chr13.110711824.+	4	0	0	0	0
chr13.21038647.+	19	19	0	0	0
chr13.30371004.+	1	0	0	0	0
chr13.44274289.+	16	13	0	1	1
chr13.45386033.+	2	4	0	1	0
chr13.46199709.+	3	2	0	1	0
chr13.48492994.+	1	3	0	0	0
chr13.48571996.+	17	9	0	2	0
chr13.50892619.+	7	5	0	1	0
chr13.50893314.+	203	90	4	18	12
chr13.52651813.+	14	13	1	0	1
chr13.71832740.+	2	1	1	0	0
chr14.102902995.-	46	12	0	3	0
chr14.103786176.-	1	0	0	0	0
chr14.20370147.-	1	0	0	0	0
chr14.38174492.-	1	0	0	0	0
chr14.49971738.-	4	1	0	0	0
chr14.51860709.-	3	2	0	0	0
chr14.55645633.-	1	0	0	0	1
chr14.62492565.-	1	1	0	0	0
chr14.63716829.-	1	0	0	0	0
chr14.64505118.-	3	1	0	0	0
chr14.65211787.-	1	0	0	0	0
chr14.67190326.-	1	0	0	0	0
chr14.73742524.-	1	2	0	0	0
chr14.76740333.-	1	0	0	0	0
chr14.77034800.-	16	3	0	0	0
chr14.81672239.-	1	0	0	0	0
chr14.84110689.-	1	2	0	0	0
chr14.89939921.-	1	0	0	0	0
chr14.92669032.-	4	2	0	1	0
chr14.101829185.+	1	2	0	0	0
chr14.101875687.+	2	3	0	0	0
chr14.102262296.+	2	0	0	0	0
chr14.103387627.+	1	0	0	0	0
chr14.105173773.+	2	2	0	0	0
chr14.23010061.+	4	1	0	0	0
chr14.35122239.+	2	0	0	0	0
chr14.35154886.+	19	6	0	1	0
chr14.35286165.+	1	1	0	0	0
chr14.49946272.+	1	0	0	0	0
chr14.49970582.+	23	10	1	8	3
chr14.50465956.+	1	0	0	0	0
chr14.54626982.+	5	1	0	0	0
chr14.64363075.+	1	0	0	0	0
chr14.75286192.+	9	3	0	0	0
chr14.76963843.+	2	0	0	0	0
chr14.77038591.+	13	9	0	0	1
chr14.89616611.+	5	5	0	1	0
chr14.95520045.+	33	19	1	0	1
chr15_KI270849v1_alt.53610.-	4	5	1	0	0
chr15_KI270905v1_alt.3553661.-	10	2	0	0	0
chr15_KI270905v1_alt.569909.-	1	0	0	0	0
chr15.20506706.-	1	0	0	0	0
chr15.25863846.-	1	1	0	0	1
chr15.31267845.-	1	1	0	0	0
chr15.40103976.-	1	0	0	0	0
chr15.41635082.-	1	1	0	0	0
chr15.44730241.-	1	1	1	0	0
chr15.54518177.-	3	1	0	0	0
chr15.66419403.-	1	0	0	0	0
chr15.68277061.-	3	2	0	0	0
chr15.69668391.-	27	6	0	0	1
chr15.73457474.-	1	0	0	0	0
chr15.74789896.-	3	2	0	0	0
chr15.75126522.-	3	1	0	0	0
chr15.78167460.-	1	0	0	0	0
chr15.82651013.-	1	0	0	0	0
chr15.82849980.-	1	6	0	1	0
chr15.85381686.-	16	3	1	1	0
chr15.85474924.-	1	1	0	0	0
chr15.85691816.-	20	13	1	0	0
chr15.90001857.-	1	0	0	0	0
chr15.90831883.-	1	2	0	0	0
chr15.99250264.-	12	5	1	1	0
chr15.19964869.+	1	0	0	0	0
chr15.42606311.+	1	2	0	0	0
chr15.44386078.+	2	0	0	0	0
chr15.56774802.+	1	0	0	0	0
chr15.66617116.+	134	53	2	4	6
chr15.67098230.+	5	1	2	0	1
chr15.78167457.+	44	24	0	2	1
chr15.82856170.+	9	4	0	0	1
chr15.91028417.+	1	9	0	0	0
chr15.92809862.+	19	18	2	2	3
chr15.94230351.+	3	4	1	0	0
chr16.10869236.-	1	1	0	0	0
chr16.11300340.-	6	2	0	1	0
chr16.12239756.-	1	0	0	0	0
chr16.12369319.-	1	0	0	0	0
chr16.18805156.-	1	4	1	0	0
chr16.21541128.-	4	3	0	0	0
chr16.23640891.-	4	3	3	0	0
chr16.23958458.-	5	2	0	0	0
chr16.29627144.-	2	0	0	0	0
chr16.30461061.-	5	2	0	0	0
chr16.30592608.-	2	6	2	0	0
chr16.3087220.-	1	0	0	0	0
chr16.3088286.-	3	0	0	0	0
chr16.3249674.-	1	0	0	0	0
chr16.3580779.-	4	3	0	0	0
chr16.56280096.-	4	1	0	0	0
chr16.57689170.-	6	7	1	1	0
chr16.66520264.-	19	5	0	0	0
chr16.68333201.-	2	1	0	0	0
chr16.68469283.-	9	3	0	0	0
chr16.69727572.-	1	0	0	0	0
chr16.70178141.-	1	0	0	0	0
chr16.71931647.-	1	0	0	0	0
chr16.81471291.-	3	1	0	1	0
chr16.84600572.-	12	5	0	0	1
chr16.88802968.-	7	2	0	0	0
chr16.88978217.-	4	4	0	0	1
chr16.1534412.+	1	2	0	0	0
chr16.17377912.+	16	6	1	0	0
chr16.20745063.+	13	8	0	0	0
chr16.21524880.+	2	4	0	0	0
chr16.21525137.+	13	12	1	2	0
chr16.2301592.+	1	0	0	0	0
chr16.23898506.+	1	1	0	0	0
chr16.3055664.+	4	2	0	0	0
chr16.3075491.+	28	19	2	1	0
chr16.48613168.+	4	5	0	0	0
chr16.50683012.+	1	0	0	0	0
chr16.57535661.+	10	11	0	0	0
chr16.58237725.+	1	0	0	0	0
chr16.66516415.+	6	45	0	5	1
chr16.70259907.+	1	0	0	0	0
chr16.74665916.+	1	0	0	0	0
chr16.74701046.+	2	0	0	0	0
chr16.79083988.+	3	2	0	0	0
chr16.81737200.+	32	14	0	0	1
chr16.84969975.+	1	0	0	0	0
chr16.85055374.+	2	1	0	0	0
chr16.87879783.+	2	4	0	0	0
chr16.88782722.+	8	6	0	0	0
chr16.9086454.+	1	0	0	0	0
chr17_GL000205v2_random.85990.+	2	1	0	0	0
chr17_KI270861v1_alt.153672.+	3	4	1	1	0
chr17.10542197.-	1	0	0	0	0
chr17.11293008.-	1	0	0	0	0
chr17.31159238.-	1	0	0	0	0
chr17.35268600.-	1	0	0	0	0
chr17.40108867.-	20	11	0	2	0
chr17.417371.-	1	0	0	0	0
chr17.43369822.-	50	43	1	5	4
chr17.47942199.-	1	1	0	0	0
chr17.48492240.-	83	31	2	3	0
chr17.48837190.-	6	3	0	0	0
chr17.50156132.-	10	2	1	0	0
chr17.57364252.-	1	0	0	1	0
chr17.57387900.-	2	0	0	0	0
chr17.57390880.-	1	0	0	0	0
chr17.57496929.-	10	10	0	0	0
chr17.58010095.-	1	0	0	0	0
chr17.58335857.-	25	8	0	0	0
chr17.59786085.-	6	0	0	1	0
chr17.62480211.-	6	15	2	0	0
chr17.65243549.-	1	0	0	0	0
chr17.69176623.-	7	8	0	0	0
chr17.70038332.-	1	0	0	0	0
chr17.7482883.-	2	4	0	1	0
chr17.76501940.-	10	2	0	1	0
chr17.76580444.-	2	1	0	0	0
chr17.78131526.-	30	21	0	0	1
chr17.78325949.-	2	0	0	0	0
chr17.81438121.-	3	5	0	0	0
chr17.81976567.-	1	0	0	0	0
chr17.81976590.-	202	87	5	15	13
chr17.82884276.-	18	31	2	3	0
chr17.9474855.-	4	3	0	0	1
chr17.10021294.+	14	9	0	0	0
chr17.1198397.+	7	5	1	0	0
chr17.1723636.+	2	4	1	0	0
chr17.17415935.+	6	0	0	0	0
chr17.39170404.+	3	3	0	1	0
chr17.39678934.+	9	9	0	0	0
chr17.41842772.+	1	0	0	0	0
chr17.42531292.+	10	1	0	0	0
chr17.43171534.+	1	0	0	0	0
chr17.44095298.+	5	1	0	0	0
chr17.45160313.+	5	0	0	0	0
chr17.55113486.+	1	0	0	0	0
chr17.57376638.+	2	0	0	0	0
chr17.59162862.+	149	71	5	17	16
chr17.59787555.+	1	0	0	0	0
chr17.61811139.+	2	1	0	0	0
chr17.64015004.+	30	21	0	2	0
chr17.76271867.+	2	0	0	0	0
chr17.76598629.+	6	6	0	0	0
chr17.7687169.+	13	5	1	0	1
chr17.77373634.+	1	0	0	0	0
chr17.77388613.+	20	17	2	2	1
chr17.7884066.+	9	5	0	0	0
chr17.80779894.+	36	21	0	1	1
chr17.8191956.+	35	16	0	1	1
chr17.82884607.+	7	4	0	0	0
chr17.83117085.+	1	0	1	0	0
chr17.9801442.+	1	0	0	0	0
chr18.12679687.-	21	14	0	0	0
chr18.12838185.-	6	1	0	0	0
chr18.2640256.-	5	2	0	0	0
chr18.41998677.-	1	0	0	0	0
chr18.5217124.-	1	0	0	0	0
chr18.58886332.-	8	6	0	1	0
chr18.59881995.-	136	60	2	4	3
chr18.60145693.-	6	7	0	0	0
chr18.74378015.-	45	21	0	2	2
chr18.77096073.-	24	18	1	0	0
chr18.13452797.+	3	4	0	0	0
chr18.3605328.+	1	0	0	1	0
chr18.41942790.+	7	11	0	0	0
chr18.5465961.+	2	0	0	0	0
chr18.55478015.+	199	98	7	12	13
chr18.63097691.+	1	0	0	0	0
chr18.63234814.+	9	6	0	0	0
chr18.63838180.+	1	0	0	0	0
chr18.74163347.+	3	1	0	0	0
chr18.77102129.+	1	0	0	0	0
chr18.77215569.+	1	0	0	0	0
chr19.11323180.-	3	2	0	0	0
chr19.1266386.-	5	3	0	0	0
chr19.12666354.-	1	2	1	0	0
chr19.13152547.-	10	4	0	0	1
chr19.13182936.-	8	0	0	0	0
chr19.17126569.-	5	0	0	0	0
chr19.17405997.-	45	31	2	1	3
chr19.18017465.-	5	5	0	0	1
chr19.2265234.-	3	19	0	0	1
chr19.3137151.-	2	1	0	0	0
chr19.3146500.-	6	0	0	1	0
chr19.35908522.-	3	0	0	0	0
chr19.41261332.-	4	5	0	0	0
chr19.50022601.-	1	0	0	0	0
chr19.5442342.-	1	0	0	0	0
chr19.6802867.-	6	3	0	0	0
chr19.8666322.-	2	4	0	0	0
chr19.12790958.+	37	20	0	0	0
chr19.13164867.+	19	7	0	1	1
chr19.1367850.+	7	8	0	0	0
chr19.13837374.+	109	47	1	3	6
chr19.14371886.+	34	21	0	1	0
chr19.18023791.+	6	2	0	0	0
chr19.18030115.+	5	1	0	0	0
chr19.18288392.+	2	1	0	0	0
chr19.1876893.+	15	6	0	2	0
chr19.1904040.+	6	3	0	0	0
chr19.2051977.+	2	0	0	0	0
chr19.2070355.+	1	0	0	0	0
chr19.28338805.+	1	0	0	0	0
chr19.28480950.+	1	0	0	0	0
chr19.3146497.+	1	0	0	0	0
chr19.3505576.+	13	5	0	0	0
chr19.35437515.+	20	11	1	0	1
chr19.39093244.+	1	0	0	0	0
chr19.41878194.+	41	20	2	1	1
chr19.44677975.+	1	0	0	0	0
chr19.48964289.+	43	24	2	0	0
chr19.51127379.+	6	9	4	1	0
chr19.6236955.+	2	0	0	0	0
chr19.8500923.+	1	0	0	0	0
chr2.101621563.-	3	4	0	0	0
chr2.105630349.-	1	0	0	0	0
chr2.111494704.-	1	3	0	0	0
chr2.111698953.-	19	12	0	2	0
chr2.132622995.-	1	0	0	0	0
chr2.143124538.-	4	1	0	0	0
chr2.157435219.-	2	1	0	0	0
chr2.157831938.-	1	0	0	0	0
chr2.174595359.-	8	5	0	0	1
chr2.191021265.-	57	41	2	0	0
chr2.191194348.-	1	1	0	0	0
chr2.200920182.-	3	4	0	0	0
chr2.201129057.-	6	0	0	0	0
chr2.219206243.-	8	42	2	4	2
chr2.231642566.-	9	3	0	0	0
chr2.231661679.-	61	33	1	0	1
chr2.237436714.-	52	27	0	0	1
chr2.25274508.-	5	248	25	31	25
chr2.26411557.-	141	104	2	4	3
chr2.30025755.-	1	0	0	0	0
chr2.42967339.-	1	0	0	0	0
chr2.42969947.-	7	7	0	0	0
chr2.43215952.-	1	0	0	0	0
chr2.45921517.-	3	2	0	0	0
chr2.56611618.-	1	0	0	0	0
chr2.58768357.-	1	7	0	0	0
chr2.6910610.-	1	0	0	0	0
chr2.69946507.-	19	8	1	0	0
chr2.75710149.-	5	5	0	1	0
chr2.85438649.-	6	3	0	0	0
chr2.87291240.-	6	2	0	0	0
chr2.87486654.-	1	0	0	0	0
chr2.96209379.-	3	0	0	0	0
chr2.9680960.-	178	65	2	11	5
chr2.9681456.-	15	10	0	0	1
chr2.111570323.+	13	22	0	0	0
chr2.112707507.+	3	3	0	0	0
chr2.113890386.+	8	2	0	0	0
chr2.11702373.+	193	74	4	10	7
chr2.11755960.+	10	6	0	0	0
chr2.125812303.+	1	0	0	0	0
chr2.126659041.+	8	6	0	0	1
chr2.127701100.+	3	1	0	0	0
chr2.130182000.+	1	1	0	0	0
chr2.136137697.+	129	109	2	9	1
chr2.141534166.+	20	11	0	0	0
chr2.142505628.+	1	0	0	0	0
chr2.143323808.+	1	0	0	0	0
chr2.152485681.+	3	2	0	0	0
chr2.16441206.+	6	8	0	0	0
chr2.167148939.+	4	2	0	0	0
chr2.173812218.+	1	0	0	0	0
chr2.174493876.+	6	2	1	0	0
chr2.176407523.+	1	0	0	0	0
chr2.177165050.+	2	2	0	0	0
chr2.178479591.+	2	66	1	4	4
chr2.180101035.+	3	1	0	0	0
chr2.181421162.+	3	1	0	0	0
chr2.189763064.+	5	3	1	0	1
chr2.191021232.+	1	0	0	0	0
chr2.200509406.+	4	3	0	0	0
chr2.200865433.+	5	2	0	0	0
chr2.213121444.+	6	6	0	0	0
chr2.218285967.+	12	3	0	0	2
chr2.226030663.+	1	0	0	0	0
chr2.230879253.+	1	0	0	0	0
chr2.28750310.+	1	0	0	0	0
chr2.28751910.+	2	0	0	0	0
chr2.36967929.+	3	2	0	0	0
chr2.47315785.+	4	0	0	0	0
chr2.49940704.+	16	22	1	1	0
chr2.54588581.+	1	0	0	0	0
chr2.55103237.+	1	2	0	0	0
chr2.58728114.+	2	0	0	0	0
chr2.58895879.+	59	31	0	4	0
chr2.6878268.+	3	0	0	0	0
chr2.7004533.+	6	11	1	1	0
chr2.74620548.+	11	7	0	0	0
chr2.8432401.+	1	0	0	0	0
chr2.84890077.+	3	1	0	0	0
chr2.85615970.+	1	0	0	0	0
chr2.8669860.+	1	0	0	0	0
chr2.87455826.+	4	4	1	0	0
chr2.96758783.+	49	17	1	3	0
chr2.9680957.+	1	0	0	0	0
chr20.2524717.-	7	17	4	3	0
chr20.32673847.-	24	16	1	0	0
chr20.35244623.-	2	0	0	0	0
chr20.35447187.-	2	1	0	0	0
chr20.4013981.-	3	0	0	0	0
chr20.48858658.-	3	0	0	0	0
chr20.53595892.-	2	1	0	0	0
chr20.53624157.-	26	8	1	1	1
chr20.53643976.-	8	3	0	0	0
chr20.53749205.-	7	7	0	0	0
chr20.57479688.-	5	2	0	0	0
chr20.57629477.-	5	0	0	0	0
chr20.588078.-	1	0	0	0	0
chr20.60046729.-	86	83	4	9	2
chr20.8602431.-	93	75	3	6	6
chr20.9161912.-	1	14	1	1	0
chr20.17970804.+	12	9	0	0	0
chr20.22162465.+	16	40	2	0	1
chr20.24376614.+	12	3	0	0	0
chr20.32672384.+	13	169	8	5	6
chr20.3404180.+	1	0	0	0	0
chr20.35769966.+	3	2	2	0	2
chr20.38611722.+	1	0	0	0	0
chr20.4013189.+	1	3	0	0	1
chr20.43765128.+	1	0	0	0	0
chr20.47509130.+	5	2	0	0	0
chr20.50484244.+	5	1	0	0	0
chr20.50746947.+	1	1	0	0	0
chr20.53641547.+	63	20	2	0	5
chr20.53678624.+	239	124	5	12	5
chr20.53752130.+	9	8	0	0	0
chr20.53754660.+	23	12	2	0	1
chr20.53879837.+	11	7	0	0	1
chr20.5653721.+	9	5	0	1	0
chr21.14483353.-	6	6	0	0	0
chr21.14543245.-	5	5	0	0	0
chr21.15274758.-	42	10	0	0	0
chr21.25934914.-	1	0	0	0	0
chr21.29171790.-	6	5	0	1	0
chr21.34893184.-	1	5	0	0	1
chr21.37235189.-	1	1	0	0	0
chr21.38793652.-	1	0	0	0	0
chr21.41923562.-	2	2	0	0	0
chr21.42063064.-	24	9	0	0	0
chr21.42188211.-	2	44	0	8	0
chr21.42502991.-	1	0	0	0	0
chr21.15731396.+	1	3	0	0	0
chr21.20590731.+	2	2	0	0	0
chr21.34965896.+	5	0	0	0	1
chr21.5103663.+	1	49	2	1	1
chr22.16600382.-	1	0	0	0	0
chr22.17629560.-	1	0	0	0	0
chr22.20393496.-	1	0	0	0	0
chr22.24141521.-	45	16	1	0	1
chr22.28802467.-	3	0	0	0	0
chr22.30605885.-	2	1	0	0	0
chr22.36386445.-	3	2	0	0	0
chr22.37267334.-	2	0	0	0	0
chr22.37282870.-	4	4	2	5	0
chr22.38400418.-	1	0	0	0	0
chr22.40059503.-	6	2	0	0	1
chr22.40215807.-	189	85	11	18	17
chr22.50192117.-	2	4	0	1	0
chr22.50309362.-	3	0	0	0	1
chr22.26316666.+	1	0	0	0	0
chr22.31216660.+	2	0	0	0	0
chr22.36376096.+	1	0	0	0	0
chr22.36542818.+	1	0	0	0	0
chr22.37281643.+	42	15	0	1	0
chr22.37281887.+	1	0	0	0	0
chr22.37485619.+	1	0	0	0	0
chr22.42382282.+	1	0	0	0	0
chr22.42443689.+	63	140	4	9	5
chr22.46004768.+	1	0	0	0	0
chr22.50084864.+	147	59	4	5	5
chr22.50086256.+	40	20	1	2	0
chr22.50538289.+	25	26	1	2	1
chr3.100089110.-	1	4	0	0	0
chr3.101828570.-	1	0	0	0	0
chr3.10198913.-	3	1	0	0	0
chr3.109338093.-	6	2	0	0	0
chr3.127801791.-	3	2	0	0	0
chr3.15030073.-	1	0	0	0	0
chr3.151238005.-	1	0	0	0	0
chr3.151873789.-	3	4	0	0	0
chr3.156818833.-	1	0	0	0	0
chr3.171290508.-	11	3	0	0	0
chr3.17323545.-	3	2	0	0	0
chr3.183343111.-	49	20	1	3	0
chr3.191259289.-	3	3	0	0	0
chr3.194683655.-	29	9	0	0	0
chr3.195259364.-	34	15	0	1	0
chr3.29353982.-	2	0	0	0	0
chr3.4500337.-	4	2	0	0	1
chr3.48685778.-	8	6	2	0	0
chr3.50228088.-	5	1	3	0	0
chr3.50235552.-	29	14	4	1	1
chr3.50338315.-	4	2	2	0	1
chr3.52054253.-	1	0	0	0	0
chr3.52282919.-	1	2	0	0	0
chr3.53269532.-	2	1	0	0	0
chr3.58350908.-	1	1	0	0	0
chr3.60606424.-	1	0	0	0	0
chr3.63991036.-	15	8	0	0	0
chr3.69325385.-	17	7	0	1	0
chr3.69370982.-	133	74	6	10	6
