"chromosome","position","strand","cellType","patient","reads","sampleReplicate","timePoint","timePointMonths","inferredCells","relativeAbundance","nearestGene","source","sample"
"chr1",41906626,"-","Tcells","p00001",2858,"GTSP0019-1","m6",6,2,0.207900207900208,"HIVEP3","Illumina","GTSP0019"
"chr1",46115536,"-","Tcells","p00001",1881,"GTSP0019-1","m6",6,1,0.103950103950104,"PIK3R3","Illumina","GTSP0019"
"chr1",66339702,"-","Tcells","p00001",18,"GTSP0019-1","m6",6,1,0.103950103950104,"PDE4B","Illumina","GTSP0019"
"chr1",86086594,"-","Tcells","p00001",1843,"GTSP0019-1","m6",6,2,0.207900207900208,"COL24A1","Illumina","GTSP0019"
"chr1",9083592,"-","Tcells","p00001",2,"GTSP0019-1","m6",6,1,0.103950103950104,"SLC2A5","Illumina","GTSP0019"
"chr1",9849693,"-","Tcells","p00001",3,"GTSP0019-2","m6",6,1,0.103950103950104,"CTNNBIP1","Illumina","GTSP0019"
"chr1",100441546,"+","Tcells","p00001",19,"GTSP0019-2","m6",6,1,0.103950103950104,"CDC14A","Illumina","GTSP0019"
"chr1",107932880,"+","Tcells","p00001",1054,"GTSP0019-1","m6",6,3,0.311850311850312,"VAV3","Illumina","GTSP0019"
"chr1",112619183,"+","Tcells","p00001",4675,"GTSP0019-1","m6",6,5,0.51975051975052,"ST7L","Illumina","GTSP0019"
"chr1",113947772,"+","Tcells","p00001",220,"GTSP0019-4","m6",6,1,0.103950103950104,"HIPK1","Illumina","GTSP0019"
"chr1",150161476,"+","Tcells","p00001",439,"GTSP0019-1","m6",6,3,0.311850311850312,"LOC105371433","Illumina","GTSP0019"
"chr1",154955528,"+","Tcells","p00001",1444,"GTSP0019-1","m6",6,3,0.311850311850312,"PBXIP1","Illumina","GTSP0019"
"chr1",156490905,"+","Tcells","p00001",502,"GTSP0019-2","m6",6,1,0.103950103950104,"MEF2D","Illumina","GTSP0019"
"chr1",198187789,"+","Tcells","p00001",4570,"GTSP0019-1","m6",6,8,0.831600831600832,"NEK7","Illumina","GTSP0019"
"chr1",200244662,"+","Tcells","p00001",214,"GTSP0019-4","m6",6,1,0.103950103950104,"NR5A2","Illumina","GTSP0019"
"chr1",201025329,"+","Tcells","p00001",15,"GTSP0019-2","m6",6,1,0.103950103950104,"KIF21B","Illumina","GTSP0019"
"chr1",206035330,"+","Tcells","p00001",17,"GTSP0019-2","m6",6,1,0.103950103950104,"CTSE","Illumina","GTSP0019"
"chr1",206077769,"+","Tcells","p00001",312,"GTSP0019-4","m6",6,1,0.103950103950104,"C1ORF186","Illumina","GTSP0019"
"chr1",225446681,"+","Tcells","p00001",711,"GTSP0019-1","m6",6,1,0.103950103950104,"LBR","Illumina","GTSP0019"
"chr1",230270238,"+","Tcells","p00001",1,"GTSP0019-4","m6",6,1,0.103950103950104,"GALNT2","Illumina","GTSP0019"
"chr1",234959464,"+","Tcells","p00001",716,"GTSP0019-1","m6",6,3,0.311850311850312,"LOC101927851","Illumina","GTSP0019"
"chr1",234969438,"+","Tcells","p00001",4170,"GTSP0019-1","m6",6,1,0.103950103950104,"LOC101927851","Illumina","GTSP0019"
"chr1",41883078,"+","Tcells","p00001",405,"GTSP0019-3","m6",6,1,0.103950103950104,"HIVEP3","Illumina","GTSP0019"
"chr1",41891395,"+","Tcells","p00001",3188,"GTSP0019-1","m6",6,3,0.311850311850312,"HIVEP3","Illumina","GTSP0019"
"chr1",43366834,"+","Tcells","p00001",620,"GTSP0019-2","m6",6,1,0.103950103950104,"ELOVL1","Illumina","GTSP0019"
"chr1",6359718,"+","Tcells","p00001",970,"GTSP0019-2","m6",6,1,0.103950103950104,"ACOT7","Illumina","GTSP0019"
"chr1",65217499,"+","Tcells","p00001",532,"GTSP0019-4","m6",6,1,0.103950103950104,"AK4","Illumina","GTSP0019"
"chr1",68776596,"+","Tcells","p00001",287,"GTSP0019-3","m6",6,1,0.103950103950104,"DEPDC1-AS1","Illumina","GTSP0019"
"chr10",112376027,"-","Tcells","p00001",1364,"GTSP0019-3","m6",6,2,0.207900207900208,"ACSL5","Illumina","GTSP0019"
"chr10",132336378,"-","Tcells","p00001",19,"GTSP0019-2","m6",6,1,0.103950103950104,"LRRC27","Illumina","GTSP0019"
"chr10",26448698,"-","Tcells","p00001",1148,"GTSP0019-1","m6",6,1,0.103950103950104,"APBB1IP","Illumina","GTSP0019"
"chr10",31135277,"-","Tcells","p00001",570,"GTSP0019-2","m6",6,1,0.103950103950104,"LOC101929352","Illumina","GTSP0019"
"chr10",46077983,"-","Tcells","p00001",881,"GTSP0019-3","m6",6,3,0.311850311850312,"AGAP7P","Illumina","GTSP0019"
"chr10",11148141,"+","Tcells","p00001",39,"GTSP0019-1","m6",6,1,0.103950103950104,"CELF2","Illumina","GTSP0019"
"chr10",11529135,"+","Tcells","p00001",8067,"GTSP0019-1","m6",6,8,0.831600831600832,"USP6NL","Illumina","GTSP0019"
"chr10",119131595,"+","Tcells","p00001",824,"GTSP0019-1","m6",6,1,0.103950103950104,"FAM45A","Illumina","GTSP0019"
"chr10",19727151,"+","Tcells","p00001",351,"GTSP0019-2","m6",6,2,0.207900207900208,"MALRD1,LOC101928834","Illumina","GTSP0019"
"chr10",22231342,"+","Tcells","p00001",1981,"GTSP0019-2","m6",6,4,0.415800415800416,"LOC100130992","Illumina","GTSP0019"
"chr10",22322277,"+","Tcells","p00001",66,"GTSP0019-2","m6",6,1,0.103950103950104,"COMMD3-BMI1,BMI1","Illumina","GTSP0019"
"chr10",61749417,"+","Tcells","p00001",1535,"GTSP0019-1","m6",6,2,0.207900207900208,"C10ORF107","Illumina","GTSP0019"
"chr10",88457889,"+","Tcells","p00001",1393,"GTSP0019-1","m6",6,1,0.103950103950104,"RNLS","Illumina","GTSP0019"
"chr10",96739687,"+","Tcells","p00001",4,"GTSP0019-4","m6",6,1,0.103950103950104,"RPL13AP5","Illumina","GTSP0019"
"chr11",10020721,"-","Tcells","p00001",113,"GTSP0019-2","m6",6,1,0.103950103950104,"SBF2","Illumina","GTSP0019"
"chr11",103454855,"-","Tcells","p00001",71,"GTSP0019-4","m6",6,1,0.103950103950104,"DYNC2H1","Illumina","GTSP0019"
"chr11",1905317,"-","Tcells","p00001",2754,"GTSP0019-4","m6",6,1,0.103950103950104,"LINC01150","Illumina","GTSP0019"
"chr11",34917088,"-","Tcells","p00001",1641,"GTSP0019-2","m6",6,3,0.311850311850312,"PDHX","Illumina","GTSP0019"
"chr11",46930602,"-","Tcells","p00001",84,"GTSP0019-4","m6",6,1,0.103950103950104,"C11ORF49","Illumina","GTSP0019"
"chr11",59010432,"-","Tcells","p00001",207,"GTSP0019-3","m6",6,1,0.103950103950104,"LOC283194","Illumina","GTSP0019"
"chr11",64498501,"-","Tcells","p00001",978,"GTSP0019-2","m6",6,3,0.311850311850312,"LOC100996455","Illumina","GTSP0019"
"chr11",64868597,"-","Tcells","p00001",1695,"GTSP0019-1","m6",6,3,0.311850311850312,"EHD1","Illumina","GTSP0019"
"chr11",6745542,"-","Tcells","p00001",325,"GTSP0019-3","m6",6,1,0.103950103950104,"OR2AG2","Illumina","GTSP0019"
"chr11",67465247,"-","Tcells","p00001",84,"GTSP0019-1","m6",6,2,0.207900207900208,"TMEM134","Illumina","GTSP0019"
"chr11",68381369,"-","Tcells","p00001",275,"GTSP0019-2","m6",6,1,0.103950103950104,"LRP5","Illumina","GTSP0019"
"chr11",73984359,"-","Tcells","p00001",2312,"GTSP0019-1","m6",6,1,0.103950103950104,"UCP2","Illumina","GTSP0019"
"chr11",104704777,"+","Tcells","p00001",20,"GTSP0019-1","m6",6,1,0.103950103950104,"LOC102723895","Illumina","GTSP0019"
"chr11",118913142,"+","Tcells","p00001",5,"GTSP0019-1","m6",6,1,0.103950103950104,"BCL9L","Illumina","GTSP0019"
"chr11",122691622,"+","Tcells","p00001",1016,"GTSP0019-1","m6",6,1,0.103950103950104,"UBASH3B","Illumina","GTSP0019"
"chr11",122699714,"+","Tcells","p00001",1428,"GTSP0019-1","m6",6,1,0.103950103950104,"UBASH3B","Illumina","GTSP0019"
"chr11",18383018,"+","Tcells","p00001",15,"GTSP0019-2","m6",6,1,0.103950103950104,"MIR3159","Illumina","GTSP0019"
"chr11",33712595,"+","Tcells","p00001",41,"GTSP0019-4","m6",6,1,0.103950103950104,"CD59","Illumina","GTSP0019"
"chr11",34425542,"+","Tcells","p00001",9,"GTSP0019-1","m6",6,1,0.103950103950104,"CAT","Illumina","GTSP0019"
"chr11",47591022,"+","Tcells","p00001",6683,"GTSP0019-1","m6",6,18,1.87110187110187,"C1QTNF4","Illumina","GTSP0019"
"chr11",5690003,"+","Tcells","p00001",4830,"GTSP0019-1","m6",6,9,0.935550935550936,"TRIM22","Illumina","GTSP0019"
"chr11",59811757,"+","Tcells","p00001",700,"GTSP0019-1","m6",6,1,0.103950103950104,"MRPL16","Illumina","GTSP0019"
"chr11",65498240,"+","Tcells","p00001",1470,"GTSP0019-4","m6",6,2,0.207900207900208,"MALAT1","Illumina","GTSP0019"
"chr11",65640516,"+","Tcells","p00001",968,"GTSP0019-3","m6",6,1,0.103950103950104,"SIPA1","Illumina","GTSP0019"
"chr11",65640579,"+","Tcells","p00001",1,"GTSP0019-3","m6",6,1,0.103950103950104,"SIPA1","Illumina","GTSP0019"
"chr11",67267118,"+","Tcells","p00001",1,"GTSP0019-1","m6",6,1,0.103950103950104,"GRK2","Illumina","GTSP0019"
"chr11",73153132,"+","Tcells","p00001",13,"GTSP0019-1","m6",6,1,0.103950103950104,"FCHSD2","Illumina","GTSP0019"
"chr11",75272646,"+","Tcells","p00001",1935,"GTSP0019-3","m6",6,4,0.415800415800416,"ARRB1","Illumina","GTSP0019"
"chr11",78275477,"+","Tcells","p00001",44,"GTSP0019-3","m6",6,1,0.103950103950104,"GAB2","Illumina","GTSP0019"
"chr11",86157255,"+","Tcells","p00001",871,"GTSP0019-1","m6",6,1,0.103950103950104,"EED","Illumina","GTSP0019"
"chr12",104687248,"-","Tcells","p00001",543,"GTSP0019-3","m6",6,1,0.103950103950104,"CHST11","Illumina","GTSP0019"
"chr12",107322661,"-","Tcells","p00001",3,"GTSP0019-1","m6",6,1,0.103950103950104,"BTBD11","Illumina","GTSP0019"
"chr12",108696481,"-","Tcells","p00001",605,"GTSP0019-2","m6",6,1,0.103950103950104,"CORO1C","Illumina","GTSP0019"
"chr12",11803528,"-","Tcells","p00001",348,"GTSP0019-3","m6",6,1,0.103950103950104,"ETV6","Illumina","GTSP0019"
"chr12",121802366,"-","Tcells","p00001",9622,"GTSP0019-1","m6",6,17,1.76715176715177,"LINC01089","Illumina","GTSP0019"
"chr12",13102131,"-","Tcells","p00001",2679,"GTSP0019-1","m6",6,3,0.311850311850312,"GSG1","Illumina","GTSP0019"
"chr12",13153964,"-","Tcells","p00001",1946,"GTSP0019-2","m6",6,2,0.207900207900208,"EMP1","Illumina","GTSP0019"
"chr12",2337082,"-","Tcells","p00001",776,"GTSP0019-1","m6",6,2,0.207900207900208,"CACNA1C","Illumina","GTSP0019"
"chr12",2359028,"-","Tcells","p00001",1568,"GTSP0019-2","m6",6,2,0.207900207900208,"CACNA1C","Illumina","GTSP0019"
"chr12",46179996,"-","Tcells","p00001",1224,"GTSP0019-1","m6",6,1,0.103950103950104,"SLC38A1","Illumina","GTSP0019"
"chr12",47812482,"-","Tcells","p00001",669,"GTSP0019-1","m6",6,1,0.103950103950104,"HDAC7","Illumina","GTSP0019"
"chr12",50221051,"-","Tcells","p00001",228,"GTSP0019-4","m6",6,2,0.207900207900208,"LIMA1","Illumina","GTSP0019"
"chr12",53378873,"-","Tcells","p00001",241,"GTSP0019-3","m6",6,2,0.207900207900208,"SP1","Illumina","GTSP0019"
"chr12",57479164,"-","Tcells","p00001",1649,"GTSP0019-1","m6",6,2,0.207900207900208,"ARHGAP9","Illumina","GTSP0019"
"chr12",6341481,"-","Tcells","p00001",670,"GTSP0019-4","m6",6,1,0.103950103950104,"TNFRSF1A","Illumina","GTSP0019"
"chr12",89341779,"-","Tcells","p00001",2,"GTSP0019-2","m6",6,1,0.103950103950104,"DUSP6","Illumina","GTSP0019"
"chr12",8992697,"-","Tcells","p00001",3920,"GTSP0019-1","m6",6,7,0.727650727650728,"KLRG1","Illumina","GTSP0019"
"chr12",92031435,"-","Tcells","p00001",73,"GTSP0019-4","m6",6,1,0.103950103950104,"LINC01619","Illumina","GTSP0019"
"chr12",112939036,"+","Tcells","p00001",1216,"GTSP0019-1","m6",6,3,0.311850311850312,"OAS3","Illumina","GTSP0019"
"chr12",116560654,"+","Tcells","p00001",4103,"GTSP0019-1","m6",6,10,1.03950103950104,"MAP1LC3B2","Illumina","GTSP0019"
"chr12",14955226,"+","Tcells","p00001",999,"GTSP0019-1","m6",6,1,0.103950103950104,"ARHGDIB","Illumina","GTSP0019"
"chr12",14981379,"+","Tcells","p00001",1665,"GTSP0019-2","m6",6,3,0.311850311850312,"PDE6H","Illumina","GTSP0019"
"chr12",1918654,"+","Tcells","p00001",694,"GTSP0019-2","m6",6,1,0.103950103950104,"CACNA2D4","Illumina","GTSP0019"
"chr12",25053297,"+","Tcells","p00001",161,"GTSP0019-2","m6",6,1,0.103950103950104,"LRMP","Illumina","GTSP0019"
"chr12",29103312,"+","Tcells","p00001",391,"GTSP0019-3","m6",6,1,0.103950103950104,"FAR2","Illumina","GTSP0019"
"chr12",3930183,"+","Tcells","p00001",63,"GTSP0019-4","m6",6,1,0.103950103950104,"PARP11","Illumina","GTSP0019"
"chr12",41326568,"+","Tcells","p00001",1143,"GTSP0019-3","m6",6,1,0.103950103950104,"PDZRN4","Illumina","GTSP0019"
"chr12",48158061,"+","Tcells","p00001",8819,"GTSP0019-1","m6",6,17,1.76715176715177,"ASB8","Illumina","GTSP0019"
"chr12",53208875,"+","Tcells","p00001",168,"GTSP0019-1","m6",6,1,0.103950103950104,"ITGB7","Illumina","GTSP0019"
"chr12",54412074,"+","Tcells","p00001",2067,"GTSP0019-1","m6",6,2,0.207900207900208,"LOC102724050,ITGA5","Illumina","GTSP0019"
"chr12",54977324,"+","Tcells","p00001",677,"GTSP0019-3","m6",6,1,0.103950103950104,"TESPA1","Illumina","GTSP0019"
"chr12",630534,"+","Tcells","p00001",689,"GTSP0019-1","m6",6,1,0.103950103950104,"NINJ2","Illumina","GTSP0019"
"chr12",64460237,"+","Tcells","p00001",884,"GTSP0019-4","m6",6,2,0.207900207900208,"TBK1","Illumina","GTSP0019"
"chr12",6533747,"+","Tcells","p00001",413,"GTSP0019-4","m6",6,1,0.103950103950104,"GAPDH","Illumina","GTSP0019"
"chr12",68411070,"+","Tcells","p00001",344,"GTSP0019-4","m6",6,1,0.103950103950104,"LOC100507195","Illumina","GTSP0019"
"chr12",7557921,"+","Tcells","p00001",365,"GTSP0019-4","m6",6,1,0.103950103950104,"CD163","Illumina","GTSP0019"
"chr12",78418789,"+","Tcells","p00001",698,"GTSP0019-1","m6",6,3,0.311850311850312,"LOC105369860","Illumina","GTSP0019"
"chr12",88433338,"+","Tcells","p00001",485,"GTSP0019-2","m6",6,1,0.103950103950104,"KITLG","Illumina","GTSP0019"
"chr12",89040847,"+","Tcells","p00001",1,"GTSP0019-2","m6",6,1,0.103950103950104,"LOC728084","Illumina","GTSP0019"
"chr12",93591404,"+","Tcells","p00001",299,"GTSP0019-3","m6",6,1,0.103950103950104,"SOCS2","Illumina","GTSP0019"
"chr12",93737745,"+","Tcells","p00001",1136,"GTSP0019-2","m6",6,1,0.103950103950104,"CRADD,LOC101928731","Illumina","GTSP0019"
"chr13",102584848,"-","Tcells","p00001",805,"GTSP0019-3","m6",6,2,0.207900207900208,"TPP2","Illumina","GTSP0019"
"chr13",20121223,"-","Tcells","p00001",577,"GTSP0019-3","m6",6,1,0.103950103950104,"GJA3","Illumina","GTSP0019"
"chr13",30376853,"-","Tcells","p00001",1071,"GTSP0019-1","m6",6,1,0.103950103950104,"LINC00426","Illumina","GTSP0019"
"chr13",44484592,"-","Tcells","p00001",435,"GTSP0019-1","m6",6,1,0.103950103950104,"TSC22D1","Illumina","GTSP0019"
"chr13",46048350,"-","Tcells","p00001",1,"GTSP0019-3","m6",6,1,0.103950103950104,"ZC3H13","Illumina","GTSP0019"
"chr13",46179543,"-","Tcells","p00001",613,"GTSP0019-3","m6",6,1,0.103950103950104,"LCP1","Illumina","GTSP0019"
"chr13",50892889,"-","Tcells","p00001",587,"GTSP0019-2","m6",6,1,0.103950103950104,"RNASEH2B-AS1","Illumina","GTSP0019"
"chr13",77330854,"-","Tcells","p00001",16,"GTSP0019-1","m6",6,1,0.103950103950104,"MYCBP2","Illumina","GTSP0019"
"chr13",80455244,"-","Tcells","p00001",1171,"GTSP0019-2","m6",6,2,0.207900207900208,"SPRY2","Illumina","GTSP0019"
"chr13",108893613,"+","Tcells","p00001",1000,"GTSP0019-4","m6",6,1,0.103950103950104,"MYO16","Illumina","GTSP0019"
"chr13",21218490,"+","Tcells","p00001",604,"GTSP0019-2","m6",6,1,0.103950103950104,"LINC01046","Illumina","GTSP0019"
"chr13",30900614,"+","Tcells","p00001",1912,"GTSP0019-2","m6",6,4,0.415800415800416,"TEX26-AS1","Illumina","GTSP0019"
"chr13",41916478,"+","Tcells","p00001",39,"GTSP0019-1","m6",6,2,0.207900207900208,"VWA8","Illumina","GTSP0019"
"chr13",48430150,"+","Tcells","p00001",509,"GTSP0019-3","m6",6,1,0.103950103950104,"RB1,LPAR6","Illumina","GTSP0019"
"chr13",48432098,"+","Tcells","p00001",984,"GTSP0019-4","m6",6,1,0.103950103950104,"RB1,LPAR6","Illumina","GTSP0019"
"chr13",52187260,"+","Tcells","p00001",825,"GTSP0019-3","m6",6,2,0.207900207900208,"MRPS31P5","Illumina","GTSP0019"
"chr14",45132118,"-","Tcells","p00001",862,"GTSP0019-1","m6",6,2,0.207900207900208,"FKBP3","Illumina","GTSP0019"
"chr14",56413493,"-","Tcells","p00001",122,"GTSP0019-2","m6",6,1,0.103950103950104,"LOC101927690","Illumina","GTSP0019"
"chr14",70658149,"-","Tcells","p00001",441,"GTSP0019-4","m6",6,1,0.103950103950104,"TTC9","Illumina","GTSP0019"
"chr14",100057977,"+","Tcells","p00001",259,"GTSP0019-1","m6",6,2,0.207900207900208,"EVL","Illumina","GTSP0019"
"chr14",63643026,"+","Tcells","p00001",4,"GTSP0019-4","m6",6,1,0.103950103950104,"WDR89","Illumina","GTSP0019"
"chr14",73459088,"+","Tcells","p00001",1649,"GTSP0019-2","m6",6,3,0.311850311850312,"NUMB","Illumina","GTSP0019"
"chr14",91250643,"+","Tcells","p00001",6,"GTSP0019-4","m6",6,1,0.103950103950104,"GPR68","Illumina","GTSP0019"
"chr14",95495384,"+","Tcells","p00001",1,"GTSP0019-1","m6",6,1,0.103950103950104,"SYNE3","Illumina","GTSP0019"
"chr15",54680994,"-","Tcells","p00001",369,"GTSP0019-2","m6",6,2,0.207900207900208,"UNC13C","Illumina","GTSP0019"
"chr15",55318837,"-","Tcells","p00001",3,"GTSP0019-2","m6",6,1,0.103950103950104,"PIGBOS1","Illumina","GTSP0019"
"chr15",65582962,"-","Tcells","p00001",1093,"GTSP0019-1","m6",6,2,0.207900207900208,"INTS14","Illumina","GTSP0019"
"chr15",92820265,"-","Tcells","p00001",2453,"GTSP0019-1","m6",6,2,0.207900207900208,"ASB9P1","Illumina","GTSP0019"
"chr15",94228883,"-","Tcells","p00001",578,"GTSP0019-1","m6",6,2,0.207900207900208,"MCTP2","Illumina","GTSP0019"
"chr15",98065673,"-","Tcells","p00001",2,"GTSP0019-1","m6",6,1,0.103950103950104,"LINC01582","Illumina","GTSP0019"
"chr15",34574544,"+","Tcells","p00001",1,"GTSP0019-1","m6",6,1,0.103950103950104,"GOLGA8B","Illumina","GTSP0019"
"chr15",40693347,"+","Tcells","p00001",734,"GTSP0019-4","m6",6,1,0.103950103950104,"RAD51-AS1","Illumina","GTSP0019"
"chr15",45635332,"+","Tcells","p00001",17,"GTSP0019-2","m6",6,2,0.207900207900208,"SQRDL","Illumina","GTSP0019"
"chr15",52139085,"+","Tcells","p00001",1262,"GTSP0019-1","m6",6,2,0.207900207900208,"GNB5","Illumina","GTSP0019"
"chr15",75109777,"+","Tcells","p00001",1671,"GTSP0019-4","m6",6,1,0.103950103950104,"PPCDC","Illumina","GTSP0019"
"chr15",90400908,"+","Tcells","p00001",803,"GTSP0019-1","m6",6,1,0.103950103950104,"IQGAP1","Illumina","GTSP0019"
"chr16",2010733,"-","Tcells","p00001",10,"GTSP0019-4","m6",6,1,0.103950103950104,"ZNF598","Illumina","GTSP0019"
"chr16",2778163,"-","Tcells","p00001",26,"GTSP0019-2","m6",6,1,0.103950103950104,"ELOB","Illumina","GTSP0019"
"chr16",30471939,"-","Tcells","p00001",18,"GTSP0019-1","m6",6,1,0.103950103950104,"ITGAL","Illumina","GTSP0019"
"chr16",30473320,"-","Tcells","p00001",1,"GTSP0019-3","m6",6,1,0.103950103950104,"ITGAL","Illumina","GTSP0019"
"chr16",30473366,"-","Tcells","p00001",1609,"GTSP0019-3","m6",6,2,0.207900207900208,"ITGAL","Illumina","GTSP0019"
"chr16",30528567,"-","Tcells","p00001",60,"GTSP0019-4","m6",6,1,0.103950103950104,"ZNF747","Illumina","GTSP0019"
"chr16",30903579,"-","Tcells","p00001",1014,"GTSP0019-1","m6",6,1,0.103950103950104,"CTF1","Illumina","GTSP0019"
"chr16",46388077,"-","Tcells","p00001",1322,"GTSP0019-1","m6",6,1,0.103950103950104,"ANKRD26P1","Illumina","GTSP0019"
"chr16",57689200,"-","Tcells","p00001",1742,"GTSP0019-4","m6",6,1,0.103950103950104,"ADGRG3","Illumina","GTSP0019"
"chr16",58860718,"-","Tcells","p00001",2306,"GTSP0019-1","m6",6,3,0.311850311850312,"GOT2","Illumina","GTSP0019"
"chr16",62827957,"-","Tcells","p00001",2420,"GTSP0019-1","m6",6,2,0.207900207900208,"CDH8","Illumina","GTSP0019"
"chr16",66550447,"-","Tcells","p00001",108,"GTSP0019-1","m6",6,1,0.103950103950104,"TK2","Illumina","GTSP0019"
"chr16",11224018,"+","Tcells","p00001",634,"GTSP0019-2","m6",6,2,0.207900207900208,"SOCS1","Illumina","GTSP0019"
"chr16",12349715,"+","Tcells","p00001",206,"GTSP0019-2","m6",6,1,0.103950103950104,"SNX29","Illumina","GTSP0019"
"chr16",20694726,"+","Tcells","p00001",180,"GTSP0019-2","m6",6,1,0.103950103950104,"ACSM1","Illumina","GTSP0019"
"chr16",28879580,"+","Tcells","p00001",550,"GTSP0019-1","m6",6,2,0.207900207900208,"ATP2A1,ATP2A1-AS1","Illumina","GTSP0019"
"chr16",30383105,"+","Tcells","p00001",525,"GTSP0019-1","m6",6,1,0.103950103950104,"ZNF48","Illumina","GTSP0019"
"chr16",30535380,"+","Tcells","p00001",1921,"GTSP0019-1","m6",6,4,0.415800415800416,"ZNF747","Illumina","GTSP0019"
"chr16",57603992,"+","Tcells","p00001",21,"GTSP0019-2","m6",6,1,0.103950103950104,"ADGRG1","Illumina","GTSP0019"
"chr16",67548354,"+","Tcells","p00001",949,"GTSP0019-2","m6",6,1,0.103950103950104,"RIPOR1","Illumina","GTSP0019"
"chr16",85311283,"+","Tcells","p00001",27,"GTSP0019-2","m6",6,1,0.103950103950104,"MIR5093","Illumina","GTSP0019"
"chr17_GL000205v2_random",87006,"-","Tcells","p00001",1,"GTSP0019-3","m6",6,1,0.103950103950104,"MGC70870","Illumina","GTSP0019"
"chr17",19864868,"-","Tcells","p00001",597,"GTSP0019-2","m6",6,1,0.103950103950104,"ULK2","Illumina","GTSP0019"
"chr17",31310471,"-","Tcells","p00001",2322,"GTSP0019-1","m6",6,5,0.51975051975052,"NF1,EVI2B","Illumina","GTSP0019"
"chr17",31315806,"-","Tcells","p00001",2019,"GTSP0019-1","m6",6,4,0.415800415800416,"NF1","Illumina","GTSP0019"
"chr17",42248475,"-","Tcells","p00001",535,"GTSP0019-3","m6",6,1,0.103950103950104,"STAT5B","Illumina","GTSP0019"
"chr17",4437057,"-","Tcells","p00001",2,"GTSP0019-3","m6",6,1,0.103950103950104,"SPNS3","Illumina","GTSP0019"
"chr17",49218867,"-","Tcells","p00001",3,"GTSP0019-1","m6",6,1,0.103950103950104,"ABI3","Illumina","GTSP0019"
"chr17",49761662,"-","Tcells","p00001",2443,"GTSP0019-1","m6",6,3,0.311850311850312,"FAM117A","Illumina","GTSP0019"
"chr17",58333229,"-","Tcells","p00001",6408,"GTSP0019-1","m6",6,7,0.727650727650728,"TSPOAP1-AS1","Illumina","GTSP0019"
"chr17",59289832,"-","Tcells","p00001",4,"GTSP0019-2","m6",6,1,0.103950103950104,"GDPD1","Illumina","GTSP0019"
"chr17",67784187,"-","Tcells","p00001",83,"GTSP0019-4","m6",6,1,0.103950103950104,"NOL11","Illumina","GTSP0019"
"chr17",80766857,"-","Tcells","p00001",24,"GTSP0019-4","m6",6,1,0.103950103950104,"RPTOR","Illumina","GTSP0019"
"chr17",82335611,"-","Tcells","p00001",10,"GTSP0019-2","m6",6,1,0.103950103950104,"SECTM1","Illumina","GTSP0019"
"chr17",31309898,"+","Tcells","p00001",205,"GTSP0019-1","m6",6,1,0.103950103950104,"NF1,EVI2B","Illumina","GTSP0019"
