my_metadata.geo_accession	mouse	organ	sample_type	sample_origin	cell_dose	SAMPLENAME	short_name
GSM4491481	AE33	right femur	secondary of AE12 spleen	L4951	1.00E+05	GSM4491481	AE33 R femur sec AE12
GSM4491482	AE36	spleen	secondary of AE6 spleen	L4951	1.00E+04	GSM4491482	AE36 spleen sec AE6
GSM4491483	AE36	meninges	secondary of AE6 spleen	L4951	1.00E+04	GSM4491483	AE36 meninges sec AE6
GSM4491484	AE36	left femur	secondary of AE6 spleen	L4951	1.00E+04	GSM4491484	AE36 L femur sec AE6
GSM4491485	AE36	right femur	secondary of AE6 spleen	L4951	1.00E+04	GSM4491485	AE36 R femur sec AE6
GSM4491486	AE37	spleen	secondary of AE6 spleen	L4951	1.00E+04	GSM4491486	AE37 spleen sec AE6
GSM4491487	AE37	meninges	secondary of AE6 spleen	L4951	1.00E+04	GSM4491487	AE37 meninges sec AE6
GSM4491488	AE37	left femur	secondary of AE6 spleen	L4951	1.00E+04	GSM4491488	AE37 L femur sec AE6
GSM4491489	AE37	right femur	secondary of AE6 spleen	L4951	1.00E+04	GSM4491489	AE37 R femur sec AE6
GSM4491490	AE40	spleen	secondary of AE12 spleen	L4951	1.00E+04	GSM4491490	AE40 spleen sec AE12
GSM4491491	AE40	meninges	secondary of AE12 spleen	L4951	1.00E+04	GSM4491491	AE40 meninges sec AE12
GSM4491492	AE40	left femur	secondary of AE12 spleen	L4951	1.00E+04	GSM4491492	AE40 L femur sec AE12
GSM4491493	AE40	right femur	secondary of AE12 spleen	L4951	1.00E+04	GSM4491493	AE40 R femur sec AE12
GSM4491494	AE41	spleen	secondary of AE12 spleen	L4951	1.00E+04	GSM4491494	AE41 spleen sec AE12
GSM4491495	AE41	meninges	secondary of AE12 spleen	L4951	1.00E+04	GSM4491495	AE41 meninges sec AE12
GSM4491496	AE41	left femur	secondary of AE12 spleen	L4951	1.00E+04	GSM4491496	AE41 L femur sec AE12
GSM4491497	AE41	right femur	secondary of AE12 spleen	L4951	1.00E+04	GSM4491497	AE41 R femur sec AE12
GSM4491498	AE42	spleen	secondary of AE12 spleen	L4951	1.00E+04	GSM4491498	AE42 spleen sec AE12
GSM4491499	AE43	spleen	secondary of AE12 spleen	L4951	10.00E+02	GSM4491499	AE43 spleen sec AE12
GSM4491500	AE43	left femur	secondary of AE12 spleen	L4951	10.00E+02	GSM4491500	AE43 L femur sec AE12
GSM4491501	AE44	spleen	secondary of AE12 spleen	L4951	10.00E+02	GSM4491501	AE44 spleen sec AE12
GSM4491502	AE44	meninges	secondary of AE12 spleen	L4951	10.00E+02	GSM4491502	AE44 meninges sec AE12
GSM4491503	AE45	spleen	secondary of AE12 spleen	L4951	10.00E+02	GSM4491503	AE45 spleen sec AE12
GSM4491504	AE45	meninges	secondary of AE12 spleen	L4951	10.00E+02	GSM4491504	AE45 meninges sec AE12
GSM4491505	AE45	left femur	secondary of AE12 spleen	L4951	10.00E+02	GSM4491505	AE45 L femur sec AE12
GSM4491506	AE45	right femur	secondary of AE12 spleen	L4951	10.00E+02	GSM4491506	AE45 R femur sec AE12
GSM4491527	AE84	spleen	tertiary of AE36 spleen	L4951	10.00E+05	GSM4491527	AE84 spleen ter AE36
GSM4491531	AE88	spleen	tertiary of AE32 spleen	L4951	1.00E+05	GSM4491531	AE88 spleen ter AE32
GSM4491532	AE89	spleen	tertiary of AE32 spleen	L4951	1.00E+05	GSM4491532	AE89 spleen ter AE32
GSM4491533	AE90	spleen	tertiary of AE32 spleen	L4951	1.00E+05	GSM4491533	AE90 spleen ter AE32
